Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Najboljši;Povprečje
0;0,088000;0,240000;0,272000;0,272000;0,290000;0,328000;0,328000;0,343200;0,400000;0,400000;0,413600;0,496000;0,328680
1;0,000000;0,152400;0,272000;0,274800;0,326000;0,328000;0,328000;0,375200;0,400000;0,400000;0,430400;0,512000;0,328680
2;0,000000;0,048800;0,272000;0,305600;0,328000;0,328000;0,334000;0,394400;0,400000;0,400000;0,439200;0,528000;0,325000
3;0,000000;0,126400;0,272000;0,316400;0,328000;0,328000;0,358800;0,400000;0,400000;0,400000;0,450800;0,576000;0,338040
4;0,000000;0,068400;0,272000;0,305600;0,328000;0,338400;0,396800;0,400000;0,400000;0,400000;0,462000;0,576000;0,337120
5;0,000000;0,107600;0,281600;0,328000;0,356000;0,400000;0,400000;0,400000;0,400000;0,400000;0,486800;0,624000;0,356000
6;0,000000;0,154000;0,305600;0,328800;0,390800;0,400000;0,400000;0,400000;0,400000;0,401600;0,516400;0,672000;0,369720
7;0,000000;0,081600;0,305600;0,350800;0,400000;0,400000;0,400000;0,400000;0,400000;0,406000;0,541600;0,672000;0,368560
8;0,000000;0,068000;0,307600;0,364000;0,400000;0,400000;0,400000;0,400000;0,400000;0,408400;0,564800;0,672000;0,371280
9;0,000000;0,122400;0,328000;0,374800;0,400000;0,400000;0,400000;0,400000;0,400000;0,424400;0,613200;0,680000;0,386280
10;0,000000;0,130000;0,328000;0,367600;0,400000;0,400000;0,400000;0,400000;0,400000;0,474800;0,640000;0,680000;0,394040
11;0,000000;0,118000;0,314800;0,350400;0,400000;0,400000;0,400000;0,400000;0,400000;0,505600;0,666000;0,680000;0,395480
12;0,000000;0,081600;0,317200;0,392400;0,400000;0,400000;0,400000;0,400000;0,454000;0,609600;0,675600;0,680000;0,413040
13;0,000000;0,146000;0,328000;0,356000;0,400000;0,400000;0,400000;0,400400;0,524000;0,655600;0,676400;0,680000;0,428640
14;0,000000;0,240400;0,356800;0,400000;0,400000;0,400000;0,401200;0,493600;0,633200;0,670800;0,676800;0,680000;0,467280
15;0,000000;0,192000;0,398800;0,400000;0,400000;0,400000;0,408400;0,562400;0,642400;0,670000;0,676800;0,680000;0,475080
16;0,000000;0,164000;0,400000;0,400000;0,400000;0,400000;0,531600;0,625600;0,657600;0,671600;0,678800;0,680000;0,492920
17;0,000000;0,131200;0,398800;0,400000;0,414400;0,549200;0,618400;0,648400;0,666400;0,674400;0,686800;0,800000;0,518800
18;0,000000;0,340400;0,400000;0,418400;0,526000;0,604800;0,634400;0,660000;0,670400;0,678800;0,693200;0,800000;0,562640
19;0,000000;0,278400;0,400000;0,436800;0,524400;0,604000;0,627600;0,659200;0,668800;0,676800;0,686400;0,800000;0,556240
20;0,000000;0,318400;0,400000;0,474800;0,600800;0,624400;0,655200;0,667200;0,673200;0,680000;0,692800;0,800000;0,578680
21;0,000000;0,264400;0,401600;0,553600;0,610000;0,633200;0,660400;0,667200;0,673600;0,680000;0,700000;0,800000;0,584400
22;0,000000;0,346400;0,504400;0,590400;0,611600;0,640800;0,664000;0,667600;0,674400;0,680000;0,699600;0,800000;0,607920
23;0,000000;0,372800;0,543600;0,600400;0,614000;0,642400;0,663200;0,666800;0,676000;0,680000;0,700000;0,800000;0,615920
24;0,000000;0,346000;0,543200;0,602400;0,620000;0,656000;0,664000;0,665600;0,673600;0,680000;0,699200;0,800000;0,615000
25;0,000000;0,436800;0,584400;0,616000;0,648400;0,663600;0,664400;0,672000;0,676000;0,680000;0,705600;0,800000;0,634720
26;0,328000;0,424800;0,567200;0,614000;0,649600;0,664000;0,666400;0,672000;0,676000;0,680000;0,698400;0,800000;0,631240
27;0,000000;0,417600;0,597600;0,638000;0,661200;0,664000;0,671600;0,672000;0,676800;0,680000;0,698000;0,800000;0,637680
28;0,000000;0,430000;0,578800;0,626800;0,660400;0,664000;0,672000;0,672000;0,674000;0,680000;0,698400;0,800000;0,635640
29;0,000000;0,394000;0,585600;0,628400;0,662000;0,664000;0,668000;0,672000;0,673200;0,680000;0,698000;0,800000;0,632520
30;0,000000;0,284400;0,572800;0,614400;0,661600;0,664000;0,668800;0,672000;0,677200;0,680000;0,698800;0,800000;0,619400
31;0,000000;0,526000;0,625600;0,662800;0,664000;0,666800;0,672000;0,672000;0,678400;0,680000;0,698400;0,800000;0,654600
32;0,000000;0,404800;0,610400;0,651600;0,664000;0,666400;0,672000;0,672000;0,678000;0,680000;0,702000;0,800000;0,640120
33;0,000000;0,324000;0,508800;0,620000;0,660800;0,664000;0,671600;0,672000;0,678000;0,680000;0,701200;0,800000;0,618040
34;0,000000;0,311200;0,486800;0,620400;0,662800;0,664000;0,668800;0,672000;0,673600;0,680000;0,712000;0,816000;0,615160
35;0,000000;0,340000;0,574000;0,633600;0,663600;0,664000;0,670000;0,672000;0,672000;0,680000;0,703200;0,816000;0,627240
36;0,328000;0,422400;0,605200;0,639200;0,661600;0,664000;0,669200;0,672000;0,676000;0,680000;0,709600;0,816000;0,639920
37;0,000000;0,445600;0,620400;0,654400;0,664000;0,665200;0,672000;0,672000;0,678800;0,680000;0,707200;0,816000;0,645960
38;0,000000;0,377200;0,625600;0,657600;0,664000;0,666800;0,672000;0,673200;0,680000;0,680000;0,707200;0,816000;0,640360
39;0,272000;0,474400;0,632400;0,659200;0,664000;0,666000;0,672000;0,672000;0,679200;0,680000;0,708000;0,816000;0,650720
40;0,272000;0,416000;0,628800;0,658800;0,664000;0,664000;0,672000;0,672000;0,679200;0,680000;0,713600;0,816000;0,644840
41;0,000000;0,312000;0,593600;0,658000;0,664000;0,664000;0,670400;0,672800;0,680000;0,680000;0,711600;0,816000;0,630640
42;0,000000;0,324800;0,616800;0,662400;0,664000;0,664000;0,670800;0,672000;0,677600;0,680000;0,718000;0,816000;0,635040
43;0,328000;0,521200;0,651200;0,664000;0,664000;0,665200;0,672000;0,674000;0,680000;0,680000;0,735600;0,816000;0,660720
44;0,328000;0,486400;0,642800;0,662800;0,664000;0,664400;0,672000;0,672400;0,680000;0,680000;0,742400;0,816000;0,656720
45;0,000000;0,444800;0,633600;0,656400;0,664000;0,664000;0,666800;0,672000;0,676400;0,680000;0,715600;0,816000;0,647360
46;0,000000;0,422400;0,633200;0,658000;0,664000;0,664000;0,670000;0,672000;0,678800;0,680000;0,721200;0,816000;0,646360
47;0,328000;0,486000;0,632000;0,656800;0,664000;0,664000;0,671200;0,672000;0,680000;0,680000;0,724400;0,816000;0,653040
48;0,328000;0,531200;0,634800;0,655600;0,664000;0,666000;0,672000;0,672000;0,680000;0,680000;0,722000;0,816000;0,657760
49;0,000000;0,481600;0,636400;0,656800;0,664000;0,664000;0,671200;0,672000;0,676000;0,680000;0,726400;0,816000;0,652840
50;0,328000;0,530400;0,634000;0,658000;0,664000;0,667200;0,672000;0,672000;0,677600;0,680000;0,718000;0,816000;0,657320
51;0,328000;0,528400;0,634800;0,662400;0,664000;0,666800;0,672000;0,672000;0,680000;0,680000;0,726000;0,832000;0,658640
52;0,000000;0,372000;0,595600;0,634400;0,660000;0,664000;0,671600;0,672400;0,680000;0,680000;0,713600;0,832000;0,634360
53;0,400000;0,524800;0,623200;0,655200;0,664000;0,671600;0,672000;0,674800;0,680000;0,680000;0,712800;0,832000;0,655840
54;0,000000;0,427200;0,619600;0,653200;0,664000;0,671600;0,672000;0,673600;0,680000;0,680000;0,719200;0,832000;0,646040
55;0,000000;0,397200;0,610000;0,642800;0,663200;0,670800;0,672000;0,672000;0,678400;0,680000;0,722800;0,832000;0,640920
56;0,000000;0,416000;0,619200;0,647600;0,663200;0,668800;0,672000;0,672000;0,677600;0,680000;0,722400;0,832000;0,643880
57;0,000000;0,439600;0,624800;0,656400;0,664000;0,671600;0,672000;0,672800;0,680000;0,680000;0,742800;0,832000;0,650400
58;0,328000;0,375200;0,596400;0,654000;0,664000;0,671600;0,672000;0,673200;0,680000;0,680000;0,754400;0,848000;0,642080
59;0,000000;0,390400;0,613600;0,652800;0,664000;0,670000;0,672000;0,673600;0,680000;0,680000;0,764800;0,848000;0,646120
60;0,000000;0,338400;0,565200;0,652000;0,664000;0,670000;0,672000;0,674800;0,680000;0,680000;0,750000;0,848000;0,634640
61;0,000000;0,322000;0,504000;0,643200;0,663200;0,669200;0,672000;0,672000;0,679600;0,680000;0,762000;0,848000;0,626720
62;0,000000;0,326400;0,552000;0,654000;0,664000;0,666800;0,672000;0,672000;0,675600;0,680000;0,752000;0,848000;0,631480
63;0,000000;0,374000;0,622400;0,658400;0,664000;0,667600;0,672000;0,672000;0,674800;0,680000;0,749600;0,856000;0,643480
64;0,000000;0,366800;0,637600;0,664000;0,664000;0,670800;0,672000;0,672000;0,674800;0,680000;0,739200;0,856000;0,644120
65;0,000000;0,449200;0,655200;0,664000;0,665200;0,672000;0,672000;0,672000;0,678000;0,680000;0,734800;0,856000;0,654240
66;0,000000;0,353200;0,648800;0,663600;0,664000;0,671200;0,672000;0,672000;0,678800;0,680000;0,747200;0,856000;0,645080
67;0,000000;0,418400;0,656400;0,664000;0,664800;0,672000;0,672000;0,672000;0,679600;0,680000;0,731600;0,856000;0,651080
68;0,000000;0,380000;0,644800;0,663200;0,664000;0,668400;0,672000;0,672000;0,677200;0,680000;0,742800;0,856000;0,646440
69;0,000000;0,300400;0,603200;0,661200;0,664000;0,666400;0,672000;0,672000;0,678000;0,680000;0,724400;0,856000;0,632160
70;0,000000;0,339600;0,648800;0,664000;0,664000;0,672000;0,672000;0,672400;0,680000;0,680000;0,721200;0,856000;0,641400
71;0,000000;0,520000;0,663200;0,664000;0,671200;0,672000;0,672000;0,675600;0,680000;0,680000;0,716400;0,856000;0,661440
72;0,000000;0,492400;0,664000;0,664000;0,671600;0,672000;0,672000;0,673200;0,680000;0,680000;0,715600;0,856000;0,658480
73;0,000000;0,540000;0,664000;0,664000;0,668000;0,672000;0,672000;0,674400;0,680000;0,680000;0,725200;0,856000;0,663960
74;0,000000;0,478400;0,663200;0,664000;0,667200;0,672000;0,672000;0,673200;0,680000;0,680000;0,726400;0,856000;0,657640
75;0,000000;0,462800;0,661600;0,664000;0,668000;0,672000;0,672000;0,674400;0,680000;0,680000;0,727600;0,856000;0,656240
76;0,000000;0,421600;0,658400;0,664000;0,666000;0,672000;0,672000;0,675600;0,680000;0,680000;0,735200;0,856000;0,652480
77;0,000000;0,425600;0,653200;0,664000;0,665600;0,672000;0,672000;0,676400;0,680000;0,680000;0,728800;0,856000;0,651760
78;0,328000;0,465600;0,659200;0,664000;0,667600;0,672000;0,672000;0,679600;0,680000;0,680000;0,724800;0,856000;0,656480
79;0,328000;0,548400;0,662800;0,664800;0,672000;0,672000;0,674400;0,680000;0,680000;0,680000;0,739600;0,856000;0,667400
80;0,000000;0,481200;0,652400;0,664000;0,667600;0,672000;0,674400;0,680000;0,680000;0,680000;0,731600;0,856000;0,658320
81;0,328000;0,570800;0,658000;0,664000;0,664800;0,672000;0,672000;0,680000;0,680000;0,680000;0,722400;0,856000;0,666400
82;0,000000;0,427200;0,641600;0,663600;0,664000;0,666800;0,672000;0,674000;0,680000;0,680000;0,730400;0,856000;0,649960
83;0,000000;0,422800;0,646000;0,664000;0,664000;0,666000;0,672000;0,672000;0,679200;0,680000;0,728400;0,856000;0,649440
84;0,000000;0,430400;0,652400;0,664000;0,664000;0,669600;0,672000;0,672400;0,680000;0,680000;0,720000;0,856000;0,650480
85;0,328000;0,470800;0,638000;0,664000;0,664000;0,665600;0,672000;0,672400;0,680000;0,680000;0,735200;0,856000;0,654200
86;0,328000;0,437600;0,616400;0,662000;0,664000;0,664000;0,671200;0,672000;0,679600;0,680000;0,775600;0,856000;0,652240
87;0,000000;0,322000;0,540400;0,644800;0,664000;0,664000;0,672000;0,674400;0,680000;0,680000;0,769200;0,856000;0,631080
88;0,000000;0,345200;0,605600;0,651600;0,664000;0,664000;0,669600;0,672800;0,680000;0,680000;0,752000;0,856000;0,638480
89;0,328000;0,367600;0,505600;0,612800;0,659200;0,664000;0,666800;0,675200;0,680000;0,680000;0,729200;0,856000;0,624040
90;0,000000;0,345600;0,536000;0,628400;0,662800;0,664000;0,668400;0,674400;0,680000;0,680000;0,736400;0,856000;0,627600
91;0,328000;0,392800;0,545600;0,638400;0,663200;0,664000;0,669200;0,672000;0,680000;0,680000;0,729600;0,856000;0,633480
92;0,328000;0,383600;0,607600;0,648000;0,662800;0,665600;0,672000;0,676000;0,680000;0,680000;0,754400;0,856000;0,643000
93;0,328000;0,430800;0,616400;0,651200;0,663600;0,664400;0,672000;0,677600;0,680000;0,680000;0,772000;0,856000;0,650800
94;0,000000;0,387600;0,616400;0,653200;0,663600;0,664000;0,671600;0,677200;0,680000;0,680000;0,769600;0,856000;0,646320
95;0,000000;0,411600;0,608000;0,650400;0,663200;0,666800;0,674800;0,680000;0,680000;0,680000;0,792000;0,856000;0,650680
96;0,000000;0,366800;0,589200;0,641600;0,662800;0,664000;0,668400;0,678800;0,680000;0,680000;0,776000;0,856000;0,640760
97;0,000000;0,359600;0,585600;0,649200;0,663200;0,664000;0,671200;0,680000;0,680000;0,680000;0,776400;0,856000;0,640920
98;0,000000;0,422400;0,612000;0,657200;0,664000;0,667200;0,675600;0,680000;0,680000;0,680000;0,785600;0,856000;0,652400
99;0,000000;0,333200;0,532000;0,639600;0,660800;0,664400;0,672000;0,678000;0,680000;0,680000;0,806800;0,856000;0,634680
100;0,000000;0,320400;0,500400;0,617600;0,652000;0,660800;0,668000;0,672800;0,680000;0,680000;0,817600;0,856000;0,626960
101;0,000000;0,342800;0,570400;0,644400;0,656000;0,664000;0,669200;0,675600;0,680000;0,683600;0,836800;0,856000;0,642280
102;0,000000;0,331200;0,562400;0,648400;0,656800;0,664000;0,665600;0,672000;0,680000;0,680000;0,821600;0,856000;0,638200
103;0,000000;0,326000;0,483600;0,648400;0,658800;0,664000;0,666000;0,672000;0,678000;0,680400;0,829200;0,856000;0,630640
104;0,000000;0,324800;0,524400;0,650800;0,657600;0,664000;0,667200;0,672000;0,676800;0,680000;0,799200;0,856000;0,631680
105;0,000000;0,316800;0,516000;0,643200;0,656000;0,661200;0,664400;0,672000;0,677200;0,680000;0,798400;0,856000;0,628520
106;0,328000;0,395600;0,546000;0,652400;0,659600;0,664000;0,669200;0,675200;0,680000;0,680000;0,792400;0,856000;0,641440
107;0,000000;0,350000;0,531600;0,654000;0,660400;0,664000;0,670000;0,674400;0,680000;0,680000;0,799600;0,856000;0,636400
108;0,000000;0,363600;0,585600;0,653200;0,661600;0,664000;0,670800;0,673600;0,680000;0,680800;0,828000;0,856000;0,646120
109;0,000000;0,307600;0,470400;0,645600;0,657200;0,664000;0,667200;0,675200;0,680000;0,708000;0,850000;0,856000;0,632520
110;0,000000;0,293200;0,404800;0,620000;0,656000;0,664000;0,668400;0,675200;0,680000;0,740000;0,853200;0,856000;0,625480
111;0,000000;0,286000;0,400800;0,510000;0,658000;0,664000;0,665200;0,673600;0,680000;0,730800;0,853200;0,856000;0,612160
112;0,000000;0,340400;0,431200;0,645600;0,661200;0,664000;0,667600;0,675200;0,680000;0,790400;0,854400;0,856000;0,641000
113;0,000000;0,289600;0,402400;0,576000;0,655600;0,664000;0,665200;0,675200;0,686000;0,838800;0,854800;0,856000;0,630760
114;0,000000;0,315200;0,400400;0,548400;0,654800;0,664000;0,666000;0,674000;0,680000;0,820400;0,854000;0,856000;0,627720
115;0,000000;0,311600;0,382000;0,506800;0,653200;0,664000;0,667200;0,675200;0,684400;0,835200;0,855200;0,856000;0,623480
116;0,000000;0,278800;0,379200;0,591200;0,659600;0,664000;0,673600;0,684000;0,820000;0,847600;0,856000;0,856000;0,645400
117;0,000000;0,262400;0,503600;0,654000;0,662000;0,665600;0,676800;0,738800;0,839600;0,848800;0,856000;0,856000;0,670760
118;0,000000;0,311600;0,468800;0,653600;0,663600;0,669600;0,680000;0,779200;0,844800;0,850800;0,856000;0,856000;0,677800
119;0,000000;0,311600;0,462800;0,651200;0,664800;0,675600;0,701600;0,819600;0,844800;0,852000;0,856000;0,856000;0,684000
120;0,000000;0,336800;0,486000;0,654800;0,672000;0,680400;0,782000;0,828000;0,846400;0,851600;0,856000;0,856000;0,699400
121;0,328000;0,364000;0,437600;0,640800;0,667600;0,679200;0,772800;0,827200;0,846400;0,851200;0,856000;0,856000;0,694280
122;0,328000;0,360400;0,461600;0,650800;0,674800;0,760000;0,824000;0,837600;0,847600;0,850000;0,856000;0,856000;0,712280
