Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Best;Average
44;-1,000000;-0,065072;0,085062;0,130673;0,170030;0,198133;0,244132;0,283774;0,333694;0,372213;0,432046;0,469420;0,218468
45;-1,000000;-0,069372;0,090050;0,141560;0,178243;0,209333;0,259155;0,293447;0,327710;0,365890;0,420584;0,469420;0,221660
46;-1,000000;-0,012826;0,084080;0,120501;0,169960;0,199127;0,249230;0,292375;0,325520;0,362783;0,415805;0,469420;0,220656
47;0,000158;0,039350;0,092335;0,148406;0,190845;0,222811;0,249427;0,281790;0,316523;0,353806;0,422279;0,469420;0,231757
48;-1,000000;-0,114003;0,091366;0,140326;0,188634;0,223524;0,250216;0,285586;0,322394;0,364621;0,430309;0,485927;0,218297
49;-1,000000;0,012178;0,106064;0,161052;0,202533;0,232824;0,269600;0,303687;0,339476;0,375436;0,432963;0,485927;0,243581
50;-1,000000;0,013532;0,107326;0,161155;0,205508;0,238257;0,269369;0,305027;0,342758;0,375701;0,425886;0,485927;0,244452
51;-1,000000;-0,203727;0,118840;0,169020;0,197500;0,235556;0,267290;0,301845;0,334403;0,370631;0,426355;0,506465;0,221771
52;-1,000000;-0,100240;0,112203;0,162668;0,187675;0,221057;0,264488;0,304312;0,333922;0,370720;0,436507;0,506465;0,229331
53;-1,000000;-0,318356;0,091645;0,145145;0,179815;0,209499;0,250750;0,283950;0,322468;0,360090;0,430532;0,506465;0,195554
54;-1,000000;-0,160930;0,098627;0,155246;0,191513;0,225467;0,263581;0,303263;0,339161;0,378497;0,439248;0,506465;0,223367
55;-1,000000;-0,273287;0,093412;0,161075;0,200693;0,233831;0,269141;0,308177;0,350918;0,385540;0,434840;0,506465;0,216434
56;-1,000000;-0,047898;0,143137;0,190146;0,219845;0,252630;0,287350;0,321297;0,345809;0,370696;0,427401;0,506465;0,251041
57;-1,000000;-0,268493;0,117960;0,180008;0,218909;0,248119;0,288073;0,323450;0,348320;0,378179;0,436367;0,506465;0,227089
58;-1,000000;-0,113276;0,109890;0,172582;0,216263;0,250966;0,290948;0,320646;0,353248;0,382044;0,433869;0,506465;0,241718
59;-1,000000;-0,160321;0,106714;0,153140;0,195037;0,243114;0,285141;0,312641;0,344598;0,384744;0,446000;0,506465;0,231081
60;-1,000000;-0,318232;0,105931;0,145495;0,179993;0,208738;0,253646;0,288182;0,321216;0,362426;0,426917;0,506465;0,197431
61;-1,000000;-0,371754;0,105680;0,157631;0,188157;0,220908;0,264954;0,301011;0,338599;0,372929;0,442483;0,506465;0,202060
62;-0,014377;0,050219;0,110450;0,163238;0,207510;0,250514;0,287967;0,317605;0,349883;0,382063;0,443106;0,506465;0,256255
63;-1,000000;-0,166253;0,096638;0,142590;0,191597;0,240932;0,283231;0,323960;0,349437;0,393662;0,450610;0,506465;0,230640
64;-1,000000;-0,204213;0,115857;0,162696;0,210565;0,254007;0,292348;0,329085;0,353279;0,395495;0,444795;0,506465;0,235391
65;-1,000000;-0,206006;0,116655;0,159026;0,208010;0,246656;0,286528;0,325463;0,352122;0,388039;0,441893;0,506465;0,231839
66;-1,000000;-0,149230;0,119355;0,169690;0,216828;0,246532;0,288163;0,332816;0,357531;0,391266;0,445133;0,506465;0,241808
67;-1,000000;-0,209549;0,111281;0,172046;0,211575;0,236481;0,276488;0,323968;0,350134;0,383740;0,446551;0,506465;0,230272
68;-1,000000;-0,216223;0,125725;0,193029;0,222414;0,250950;0,284900;0,321018;0,347256;0,374476;0,439215;0,506465;0,234276
69;-1,000000;-0,258540;0,118148;0,178052;0,209040;0,234807;0,270376;0,302758;0,340819;0,372810;0,435894;0,506465;0,220417
70;-1,000000;-0,476438;0,100385;0,159311;0,210804;0,235502;0,265466;0,300405;0,336190;0,365855;0,433089;0,506465;0,193057
71;-1,000000;-0,582772;0,106607;0,173014;0,211295;0,237081;0,269482;0,305454;0,340188;0,368876;0,429808;0,506465;0,185903
72;-1,000000;-0,260783;0,126664;0,186803;0,211874;0,241155;0,281561;0,313234;0,348221;0,382614;0,437379;0,506465;0,226872
73;-1,000000;-0,412884;0,148630;0,199956;0,226341;0,258994;0,299812;0,329017;0,359058;0,394854;0,443582;0,506465;0,224736
74;-1,000000;-0,471990;0,122380;0,188219;0,218766;0,261589;0,298318;0,325063;0,364866;0,402014;0,448264;0,506465;0,215749
75;-1,000000;-0,323238;0,132736;0,206507;0,238741;0,272660;0,303942;0,337051;0,368422;0,402797;0,444591;0,506465;0,238421
76;-1,000000;-0,312674;0,150056;0,213360;0,249262;0,287390;0,328405;0,363031;0,390697;0,412847;0,453082;0,506465;0,253546
77;-1,000000;-0,272554;0,136421;0,210556;0,248472;0,285910;0,316437;0,352370;0,383343;0,408779;0,455541;0,506465;0,252528
78;-1,000000;-0,149482;0,146944;0,205852;0,242480;0,292918;0,332343;0,357680;0,384761;0,411510;0,452911;0,506465;0,267792
79;-1,000000;-0,015430;0,187187;0,236932;0,275408;0,313071;0,341810;0,362180;0,387100;0,413187;0,460365;0,506465;0,296181
80;-1,000000;-0,270078;0,142342;0,218969;0,273670;0,307509;0,342104;0,361069;0,388621;0,412178;0,450353;0,506465;0,262674
81;-1,000000;-0,100824;0,179377;0,245518;0,278881;0,310014;0,342939;0,364937;0,390305;0,412810;0,447529;0,506465;0,287149
82;-1,000000;-0,254483;0,145404;0,217801;0,272793;0,303215;0,332539;0,355599;0,381232;0,415430;0,448038;0,506465;0,261757
83;-1,000000;-0,470586;0,120713;0,202134;0,265858;0,308326;0,338006;0,361061;0,392051;0,415609;0,454965;0,506465;0,238814
84;-1,000000;-0,128595;0,170559;0,229670;0,285600;0,318245;0,347251;0,369933;0,395945;0,418118;0,456072;0,506465;0,286280
85;-1,000000;-0,309445;0,143867;0,221822;0,267338;0,305115;0,336504;0,363145;0,395541;0,413689;0,455374;0,506465;0,259295
86;-1,000000;-0,330137;0,123702;0,198213;0,252675;0,309253;0,346004;0,370439;0,394064;0,410228;0,445728;0,506465;0,252017
87;-1,000000;-0,433324;0,131359;0,190530;0,238376;0,294924;0,335945;0,364461;0,392282;0,414052;0,450029;0,506465;0,237863
88;-1,000000;-0,266445;0,143134;0,201574;0,249064;0,301731;0,337834;0,364695;0,391333;0,412055;0,449338;0,506465;0,258431
89;-1,000000;-0,259621;0,155498;0,204203;0,253986;0,299970;0,346614;0,372361;0,396189;0,419325;0,456629;0,506465;0,264515
90;-1,000000;-0,162665;0,133248;0,189486;0,244260;0,301876;0,345156;0,375950;0,401314;0,420559;0,462652;0,506465;0,271184
91;-1,000000;-0,380003;0,108823;0,168777;0,217146;0,281107;0,335321;0,370791;0,395477;0,419837;0,463129;0,506465;0,238041
92;-1,000000;-0,171803;0,129487;0,198910;0,245861;0,312558;0,353906;0,382652;0,399581;0,422756;0,464295;0,506465;0,273820
93;-1,000000;-0,078754;0,119848;0,200181;0,252959;0,309210;0,350172;0,382587;0,404115;0,427186;0,468647;0,506465;0,283615
94;-1,000000;-0,229858;0,116434;0,180675;0,227612;0,280704;0,324490;0,366599;0,392873;0,417918;0,446756;0,506465;0,252420
95;-1,000000;-0,049074;0,143915;0,208916;0,279398;0,322930;0,355661;0,381853;0,409214;0,427420;0,454898;0,506465;0,293513
96;-1,000000;-0,160855;0,157537;0,214689;0,272430;0,327765;0,360670;0,390027;0,411414;0,427299;0,453908;0,506465;0,285488
97;-1,000000;-0,061483;0,145434;0,210627;0,270068;0,326883;0,360150;0,388246;0,408220;0,426014;0,452666;0,506465;0,292683
98;-1,000000;-0,098410;0,160586;0,206282;0,267424;0,326470;0,364370;0,389600;0,412263;0,428501;0,458762;0,506465;0,291585
99;-1,000000;-0,101913;0,154026;0,210530;0,272304;0,323849;0,358860;0,386860;0,413834;0,431393;0,459759;0,506465;0,290950
100;-1,000000;0,011130;0,155903;0,209643;0,254729;0,305915;0,337372;0,362950;0,393278;0,417164;0,456602;0,506465;0,290469
101;-1,000000;-0,148572;0,151894;0,220112;0,277356;0,325097;0,356640;0,384208;0,405877;0,426700;0,461813;0,506465;0,286113
102;-1,000000;0,017370;0,157633;0,218919;0,267175;0,315495;0,354349;0,388356;0,408777;0,427921;0,454945;0,506465;0,301094
103;-1,000000;-0,209266;0,133519;0,203744;0,268957;0,331306;0,371106;0,395531;0,411708;0,428548;0,456175;0,506465;0,279133
104;-1,000000;0,021572;0,176784;0,240194;0,298958;0,335365;0,375518;0,397336;0,414577;0,427024;0,455951;0,506465;0,314328
105;-1,000000;-0,050937;0,208094;0,263780;0,309391;0,335267;0,373482;0,397295;0,413023;0,428097;0,460770;0,506465;0,313826
106;-1,000000;0,028333;0,226772;0,275887;0,325808;0,361996;0,390169;0,407697;0,415845;0,426793;0,462320;0,506465;0,332162
107;-1,000000;0,056168;0,213873;0,265932;0,315138;0,348878;0,377144;0,400631;0,418977;0,432276;0,464827;0,506465;0,329384
108;-1,000000;0,027456;0,211135;0,269432;0,326228;0,354599;0,387426;0,406992;0,421264;0,435512;0,463399;0,506465;0,330344
109;0,014417;0,099079;0,194693;0,273051;0,335870;0,374829;0,398354;0,413954;0,427712;0,440763;0,462530;0,506465;0,342084
110;-1,000000;-0,082471;0,214540;0,286452;0,340545;0,373594;0,396347;0,408769;0,420662;0,435922;0,459748;0,506465;0,325411
111;-1,000000;-0,223488;0,189873;0,292980;0,347636;0,374662;0,396434;0,405353;0,418333;0,431864;0,456352;0,506465;0,309000
112;-1,000000;-0,091357;0,218849;0,300543;0,343808;0,373381;0,395024;0,404213;0,418524;0,433645;0,456415;0,506465;0,325305
113;-1,000000;-0,161072;0,209410;0,295136;0,336442;0,368561;0,394780;0,404572;0,417921;0,432166;0,458330;0,506465;0,315625
114;-1,000000;-0,064980;0,214606;0,305253;0,344782;0,378111;0,397826;0,411892;0,425475;0,436998;0,462318;0,506465;0,331228
115;-1,000000;-0,084517;0,254037;0,317948;0,352910;0,376753;0,396419;0,414062;0,427792;0,440323;0,463143;0,506465;0,335887
116;-1,000000;-0,018067;0,223246;0,295862;0,339322;0,366128;0,390378;0,406791;0,423054;0,435783;0,459299;0,506465;0,332180
117;-1,000000;-0,058785;0,221310;0,304880;0,343672;0,367382;0,391562;0,411487;0,425681;0,435033;0,465114;0,506465;0,330733
118;-1,000000;-0,056687;0,251425;0,314933;0,354175;0,378131;0,398446;0,414415;0,426383;0,438435;0,466603;0,506465;0,338626
119;-1,000000;-0,129437;0,240282;0,308443;0,343208;0,363910;0,383924;0,401933;0,419416;0,436051;0,467789;0,506465;0,323552
120;-1,000000;-0,077452;0,215358;0,285495;0,332731;0,362190;0,386777;0,404884;0,421231;0,436615;0,461587;0,506465;0,322942
121;-1,000000;0,004642;0,238682;0,293220;0,325337;0,348683;0,374182;0,400843;0,420806;0,434755;0,458706;0,506465;0,329986
122;-1,000000;0,026196;0,207348;0,283725;0,322082;0,341712;0,377604;0,398564;0,416983;0,432722;0,459367;0,506465;0,326630
123;0,020965;0,099660;0,221319;0,277974;0,319081;0,345932;0,373847;0,395441;0,410296;0,428788;0,454244;0,506465;0,332658
124;-1,000000;0,032206;0,199702;0,271808;0,314192;0,348190;0,373851;0,391463;0,405644;0,429662;0,458889;0,506465;0,322561
125;-1,000000;0,003981;0,180920;0,263506;0,306679;0,338706;0,367679;0,389305;0,404893;0,429388;0,462127;0,506465;0,314718
126;-0,003628;0,059425;0,141218;0,250216;0,309153;0,349081;0,368011;0,385742;0,405268;0,425035;0,455717;0,506465;0,314887
127;-1,000000;-0,057891;0,137256;0,238795;0,295200;0,329524;0,353748;0,377431;0,396821;0,415642;0,446036;0,506465;0,293256
128;-1,000000;-0,163432;0,141563;0,229376;0,289569;0,329921;0,364863;0,385505;0,400410;0,415666;0,446220;0,506465;0,283966
129;-1,000000;-0,095510;0,201162;0,284041;0,318345;0,349112;0,374990;0,391289;0,406212;0,420725;0,459658;0,506465;0,311002
130;-1,000000;-0,122221;0,233803;0,294665;0,326611;0,347843;0,372842;0,390105;0,403879;0,419223;0,451842;0,506465;0,311859
131;-1,000000;0,046391;0,219191;0,279543;0,318120;0,345524;0,374815;0,394760;0,408227;0,422919;0,456511;0,506465;0,326600
132;0,049996;0,111022;0,227642;0,284601;0,321525;0,342849;0,368556;0,389390;0,401082;0,415244;0,452190;0,506465;0,331410
133;0,060503;0,153554;0,254800;0,294257;0,324283;0,347047;0,371169;0,387147;0,399354;0,416460;0,454979;0,506465;0,340305
134;0,068407;0,149790;0,229974;0,270970;0,308901;0,332912;0,360037;0,382409;0,394638;0,413505;0,451163;0,506465;0,329430
135;0,068407;0,158352;0,252539;0,278703;0,313922;0,336123;0,361007;0,382469;0,394150;0,411222;0,447583;0,506465;0,333607
136;0,027662;0,131440;0,234827;0,271958;0,308127;0,325473;0,352583;0,382231;0,397571;0,412827;0,449072;0,506465;0,326611
137;-1,000000;0,057744;0,219285;0,284586;0,309477;0,328364;0,357682;0,380922;0,397789;0,411284;0,450296;0,506465;0,319743
138;0,022216;0,130693;0,245742;0,295320;0,316805;0,335352;0,367967;0,386783;0,399301;0,408966;0,440908;0,506465;0,332784
139;-1,000000;0,077863;0,217091;0,273204;0,300028;0,321466;0,349923;0,375663;0,392680;0,405710;0,436108;0,506465;0,314974
140;-1,000000;0,083350;0,232568;0,282164;0,312055;0,328881;0,351737;0,375430;0,394412;0,405189;0,446090;0,506465;0,321187
141;0,046197;0,158805;0,225203;0,271018;0,310560;0,330799;0,355413;0,380894;0,397911;0,409356;0,448873;0,506465;0,328883
142;-1,000000;0,075215;0,222240;0,272209;0,306939;0,327882;0,361576;0,385686;0,397512;0,411944;0,457323;0,506465;0,321853
143;0,046197;0,135090;0,221266;0,271904;0,312867;0,333628;0,369557;0,387946;0,396873;0,410488;0,462349;0,506465;0,330197
144;0,044544;0,111858;0,208210;0,275744;0,309597;0,327545;0,353665;0,380447;0,397914;0,411787;0,459020;0,506465;0,323579
145;0,046197;0,116309;0,209184;0,278275;0,306316;0,330444;0,358696;0,382645;0,397461;0,409257;0,448576;0,506465;0,323716
146;0,046197;0,102639;0,196916;0,267457;0,306423;0,335511;0,363660;0,382575;0,397525;0,409150;0,442936;0,506465;0,320479
