Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Najboljši;Povprečje
0;-1,000000;-1,000000;-1,000000;-1,000000;-1,000000;-1,000000;-1,000000;-1,000000;-1,000000;-0,641010;0,118499;0,551502;-0,852251
1;-1,000000;-1,000000;-1,000000;-1,000000;-0,678293;-0,119921;-0,029680;0,018595;0,103213;0,207699;0,363438;0,551502;-0,313495
2;-1,000000;-1,000000;-1,000000;-1,000000;-0,663682;-0,094883;-0,008582;0,065448;0,155627;0,250630;0,416608;0,551502;-0,287883
3;-1,000000;-1,000000;-1,000000;-1,000000;-0,601425;-0,050895;0,035530;0,121141;0,216217;0,307951;0,482874;0,566109;-0,248861
4;-1,000000;-1,000000;-1,000000;-1,000000;-0,240149;0,009000;0,089267;0,172413;0,247786;0,348080;0,517516;0,659624;-0,185609
5;-1,000000;-1,000000;-1,000000;-1,000000;-0,244534;0,042167;0,134065;0,211824;0,303009;0,417892;0,538471;0,659624;-0,159710
6;-1,000000;-1,000000;-1,000000;-1,000000;-0,286625;0,071749;0,155924;0,226888;0,322165;0,439853;0,546639;0,659624;-0,152341
7;-1,000000;-1,000000;-1,000000;-0,550285;0,041371;0,128006;0,188646;0,281941;0,383058;0,470519;0,555543;0,659624;-0,050120
8;-1,000000;-1,000000;-1,000000;-0,425637;0,094673;0,177078;0,272984;0,366174;0,441802;0,509198;0,569246;0,659624;0,000552
9;-1,000000;-1,000000;-1,000000;-0,259100;0,112451;0,182295;0,289888;0,388919;0,464794;0,512343;0,571332;0,659624;0,026292
10;-1,000000;-1,000000;-1,000000;-0,293874;0,136820;0,242054;0,360819;0,444413;0,493391;0,524444;0,586731;0,750492;0,049480
11;-1,000000;-1,000000;-0,848190;0,072725;0,167641;0,292404;0,386485;0,447804;0,498520;0,529368;0,581273;0,750492;0,112803
12;-1,000000;-1,000000;-0,630521;0,109640;0,234254;0,357210;0,412051;0,464656;0,502209;0,529145;0,580859;0,750492;0,155950
13;-1,000000;-1,000000;-0,169655;0,185300;0,315919;0,385170;0,428281;0,475766;0,506245;0,528158;0,578482;0,750492;0,223366
14;-1,000000;-1,000000;-0,223161;0,184072;0,323436;0,396484;0,443808;0,485641;0,512472;0,532735;0,581176;0,750492;0,223666
15;-1,000000;-0,761591;0,127785;0,258007;0,354085;0,394564;0,434743;0,479028;0,505937;0,527455;0,579543;0,750492;0,289956
16;-1,000000;-0,857694;0,140667;0,265143;0,354244;0,397172;0,444508;0,485098;0,516455;0,537012;0,598154;0,750492;0,288076
17;-1,000000;-0,636758;0,177274;0,309057;0,375476;0,417737;0,457609;0,485486;0,517123;0,539788;0,620095;0,810400;0,326289
18;-1,000000;-0,623927;0,189963;0,302616;0,374683;0,415726;0,453174;0,478547;0,505718;0,532797;0,600714;0,810400;0,323001
19;-1,000000;-0,530373;0,213224;0,329723;0,378729;0,420733;0,460737;0,484087;0,504044;0,530062;0,606067;0,810400;0,339703
20;-1,000000;-0,350012;0,226839;0,334832;0,380815;0,413681;0,450300;0,476150;0,497453;0,522293;0,597075;0,810400;0,354942
21;-1,000000;-0,545525;0,215173;0,343035;0,398346;0,432728;0,465892;0,486513;0,509247;0,530927;0,611750;0,854509;0,344809
22;-1,000000;-0,319515;0,298060;0,371762;0,416427;0,453227;0,474744;0,495961;0,517471;0,541378;0,625606;0,854509;0,387512
23;-1,000000;-0,049381;0,313167;0,385104;0,426942;0,466927;0,486300;0,507728;0,528709;0,542280;0,616731;0,854509;0,422451
24;-1,000000;0,064376;0,350088;0,404921;0,449514;0,476022;0,497019;0,518406;0,536619;0,553920;0,624681;0,854509;0,447557
25;-1,000000;0,103327;0,348157;0,413614;0,460122;0,485443;0,504478;0,528030;0,541387;0,558262;0,625956;0,854509;0,456878
26;-1,000000;0,106361;0,381752;0,432843;0,468862;0,488548;0,505748;0,525754;0,538274;0,553841;0,612763;0,854509;0,461475
27;-1,000000;0,149767;0,380430;0,428893;0,461043;0,485933;0,506204;0,525255;0,539186;0,554324;0,610147;0,854509;0,464118
28;-1,000000;0,213287;0,371944;0,419296;0,457521;0,481424;0,501557;0,519825;0,537290;0,550922;0,611639;0,854509;0,466471
29;-1,000000;0,124263;0,374864;0,425250;0,462835;0,481934;0,504019;0,524355;0,540225;0,555112;0,626792;0,854509;0,461965
30;0,041563;0,238431;0,362628;0,420534;0,464887;0,485705;0,510555;0,528465;0,541843;0,558624;0,638144;0,854509;0,474982
31;-1,000000;0,211262;0,392658;0,445412;0,472241;0,495283;0,516599;0,533663;0,546592;0,561130;0,624999;0,854509;0,479984
32;-1,000000;0,260255;0,415085;0,461037;0,482318;0,507519;0,526414;0,539549;0,552154;0,562344;0,654950;0,854509;0,496162
33;0,059166;0,281061;0,407292;0,460376;0,483319;0,506805;0,524622;0,537217;0,551823;0,562039;0,639617;0,854509;0,495417
34;-1,000000;0,228204;0,379886;0,444146;0,475833;0,498712;0,516092;0,530237;0,543934;0,560568;0,640016;0,854509;0,481763
35;-1,000000;0,244982;0,393612;0,455625;0,482716;0,501708;0,519800;0,533803;0,551128;0,561533;0,638158;0,867472;0,488307
36;-1,000000;0,253399;0,394668;0,457066;0,484932;0,503850;0,520243;0,535404;0,547324;0,561095;0,656428;0,867472;0,491441
37;0,095527;0,285001;0,392783;0,448468;0,475386;0,495524;0,513896;0,531144;0,542487;0,558465;0,637493;0,867472;0,488065
38;-1,000000;0,280263;0,395889;0,446386;0,472740;0,493444;0,512806;0,530724;0,542669;0,559157;0,616058;0,867472;0,485014
39;0,119121;0,301123;0,399870;0,444390;0,477426;0,501338;0,521751;0,535169;0,544260;0,559586;0,639108;0,867472;0,492402
40;-1,000000;0,255820;0,397882;0,447617;0,479526;0,501168;0,522419;0,535284;0,542009;0,556821;0,625587;0,867472;0,486413
41;0,092596;0,268512;0,387493;0,444327;0,477473;0,502045;0,522206;0,534315;0,541725;0,556631;0,616249;0,867472;0,485098
42;-1,000000;0,250664;0,412798;0,469719;0,494500;0,513438;0,527800;0,536465;0,544235;0,558960;0,622487;0,867472;0,493106
43;0,122149;0,338908;0,439224;0,475324;0,495842;0,513292;0,527138;0,536416;0,544355;0,559162;0,640109;0,867472;0,506977
44;0,122149;0,342255;0,454267;0,488863;0,507214;0,522200;0,535101;0,539546;0,548152;0,561946;0,640018;0,867472;0,513956
45;0,093713;0,345276;0,458855;0,490648;0,509223;0,527671;0,536449;0,540748;0,550479;0,562681;0,652033;0,867472;0,517406
46;0,093713;0,338317;0,453130;0,482556;0,502862;0,521568;0,535488;0,541709;0,551487;0,562691;0,656638;0,867472;0,514645
47;0,140443;0,339840;0,457846;0,491355;0,515214;0,530629;0,536469;0,543489;0,555179;0,563457;0,659766;0,867472;0,519325
48;-1,000000;0,212842;0,471983;0,504058;0,521823;0,532700;0,536518;0,542626;0,552868;0,563417;0,686733;0,867472;0,512557
49;0,149568;0,376193;0,471770;0,499816;0,515618;0,528098;0,536498;0,544902;0,554300;0,563379;0,676267;0,867472;0,526684
50;-1,000000;0,310616;0,471798;0,499239;0,518785;0,531704;0,536535;0,545040;0,554091;0,564490;0,689702;0,867472;0,522200
51;0,104897;0,378216;0,475174;0,493600;0,516357;0,531098;0,537108;0,545879;0,553388;0,562720;0,668625;0,867472;0,526216
52;0,104897;0,392608;0,477391;0,496151;0,518827;0,533442;0,537875;0,547046;0,557015;0,566129;0,698605;0,867472;0,532509
53;0,244274;0,401467;0,475946;0,498694;0,521111;0,532527;0,537241;0,547794;0,558961;0,568540;0,694312;0,867472;0,533659
54;-1,000000;0,338363;0,480759;0,503482;0,522990;0,535048;0,539741;0,550232;0,562124;0,588624;0,761563;0,867472;0,538293
55;-1,000000;0,342900;0,479134;0,502112;0,524785;0,536449;0,541349;0,552387;0,562628;0,580116;0,741012;0,867472;0,536287
56;0,130339;0,407698;0,491543;0,513563;0,533019;0,536465;0,544409;0,552332;0,562698;0,580987;0,729398;0,867472;0,545211
57;-1,000000;0,405739;0,496635;0,519091;0,534292;0,536465;0,542193;0,551096;0,562465;0,576609;0,730318;0,867472;0,545490
58;0,309956;0,434807;0,499414;0,521166;0,534826;0,536465;0,543354;0,551099;0,561918;0,569393;0,737803;0,867472;0,549024
59;0,209035;0,440281;0,496411;0,521592;0,531986;0,536465;0,542293;0,549705;0,561697;0,566911;0,725621;0,867472;0,547296
60;0,312021;0,447799;0,493541;0,514762;0,530277;0,536477;0,543511;0,551039;0,562490;0,570302;0,747638;0,867472;0,549784
61;0,298056;0,439300;0,488931;0,513508;0,531610;0,536465;0,542146;0,550648;0,561615;0,566186;0,739664;0,867472;0,547007
62;-1,000000;0,380436;0,485844;0,511496;0,531663;0,536948;0,545339;0,553405;0,562680;0,569510;0,733805;0,867472;0,541113
63;0,254920;0,430203;0,490104;0,518851;0,533141;0,536861;0,544771;0,549926;0,561223;0,567653;0,717232;0,867472;0,544997
64;-1,000000;0,373649;0,487879;0,520985;0,533046;0,536758;0,544108;0,548195;0,558890;0,565469;0,696464;0,867472;0,536544
65;-1,000000;0,379697;0,491974;0,522612;0,533585;0,536996;0,544481;0,548309;0,559223;0,564508;0,682823;0,867472;0,536421
66;-1,000000;0,313628;0,500531;0,528403;0,536465;0,538010;0,545681;0,551122;0,561671;0,567889;0,722877;0,867472;0,536627
67;-1,000000;0,401428;0,502052;0,529619;0,536465;0,540412;0,547802;0,554926;0,563015;0,589665;0,765657;0,867472;0,553104
68;0,318264;0,447547;0,499804;0,526807;0,536465;0,538633;0,546892;0,555038;0,563082;0,590155;0,766904;0,867472;0,557133
69;0,255532;0,442269;0,499286;0,524628;0,536422;0,538075;0,546629;0,555417;0,563343;0,580836;0,767578;0,867472;0,555448
70;-1,000000;0,387729;0,498031;0,527240;0,536465;0,539481;0,548230;0,559138;0,563550;0,582855;0,745036;0,867472;0,548775
71;0,331762;0,453313;0,499291;0,526869;0,536465;0,539209;0,548181;0,557984;0,563137;0,581108;0,755840;0,868459;0,556140
72;-1,000000;0,397722;0,490979;0,515506;0,533577;0,538377;0,548355;0,559041;0,563544;0,608625;0,781528;0,868459;0,553725
73;0,169848;0,414392;0,484346;0,510978;0,529117;0,536637;0,544958;0,552208;0,562223;0,589264;0,751489;0,868459;0,547561
74;-1,000000;0,363706;0,480023;0,506823;0,528457;0,536634;0,544351;0,553727;0,562723;0,591439;0,746199;0,868459;0,541408
75;-1,000000;0,331716;0,482981;0,510773;0,528705;0,536629;0,543819;0,550190;0,562070;0,589369;0,737049;0,868459;0,537330
76;0,147033;0,436036;0,489685;0,516110;0,534139;0,537866;0,545335;0,549648;0,561747;0,578942;0,742566;0,868459;0,549207
77;0,260206;0,431334;0,491288;0,515548;0,533632;0,536718;0,543730;0,550729;0,561808;0,585192;0,761697;0,868459;0,551168
78;-1,000000;0,369049;0,488410;0,511084;0,529795;0,536477;0,540890;0,548755;0,559762;0,568276;0,732321;0,867472;0,538482
79;0,263494;0,413814;0,488763;0,510439;0,528777;0,536465;0,538941;0,547581;0,557531;0,570552;0,744891;0,867472;0,543775
80;-1,000000;0,377742;0,493528;0,517447;0,534988;0,536722;0,545317;0,552541;0,561814;0,586023;0,766065;0,866642;0,547219
81;-0,201634;0,425247;0,497533;0,521692;0,535999;0,536767;0,543720;0,549788;0,560990;0,598350;0,785407;0,866642;0,555549
82;0,110319;0,417819;0,490420;0,521342;0,536309;0,536465;0,540308;0,550022;0,561587;0,613840;0,792334;0,866642;0,556045
83;0,110319;0,399398;0,486394;0,514161;0,533816;0,536465;0,541307;0,551392;0,562570;0,625197;0,800111;0,866642;0,555081
84;-1,000000;0,380710;0,483333;0,509592;0,533874;0,536477;0,542308;0,554662;0,565652;0,640854;0,806182;0,866642;0,555364
85;0,296053;0,421237;0,483928;0,511148;0,533970;0,537478;0,546933;0,556103;0,566391;0,648970;0,803335;0,870939;0,560949
86;-1,000000;0,367013;0,477205;0,502134;0,525060;0,536451;0,542722;0,555764;0,563790;0,613205;0,793000;0,870939;0,547634
87;0,181585;0,379872;0,471522;0,499536;0,527203;0,536465;0,543392;0,554681;0,564040;0,648381;0,803164;0,870939;0,552826
88;0,169848;0,417140;0,497038;0,524617;0,536477;0,544073;0,555792;0,563481;0,620999;0,760427;0,826964;0,870939;0,584701
89;0,288675;0,453970;0,511713;0,533540;0,539204;0,548437;0,558514;0,563486;0,620074;0,752945;0,827091;0,870939;0,590897
90;0,209762;0,433260;0,502798;0,530587;0,539234;0,548336;0,558539;0,567374;0,633425;0,748061;0,821416;0,890567;0,588303
91;0,097599;0,436909;0,496607;0,526592;0,537699;0,547132;0,556706;0,563845;0,628836;0,753905;0,828603;0,890567;0,587683
92;-1,000000;0,406281;0,499772;0,528952;0,538161;0,549864;0,559808;0,570390;0,674460;0,776164;0,836536;0,890567;0,594039
93;-1,000000;0,389702;0,504306;0,533232;0,542907;0,554626;0,564615;0,652619;0,755776;0,807621;0,845987;0,890567;0,615139
94;-1,000000;0,353766;0,507019;0,534827;0,540338;0,553451;0,563305;0,617995;0,733883;0,790665;0,841839;0,890567;0,603709
95;-1,000000;0,399638;0,508729;0,535683;0,544106;0,556409;0,567776;0,661006;0,753399;0,802471;0,841606;0,890567;0,617082
96;-1,000000;0,399991;0,510627;0,537961;0,548195;0,557995;0,576749;0,683506;0,762387;0,805226;0,844409;0,890567;0,622705
97;0,318264;0,450884;0,512389;0,539467;0,548767;0,561176;0,611263;0,708180;0,777182;0,813307;0,847928;0,902803;0,637054
98;0,331762;0,463004;0,507544;0,533951;0,546017;0,559699;0,602775;0,713384;0,778265;0,814272;0,854157;0,902803;0,637307
99;0,331762;0,448226;0,507393;0,532711;0,544630;0,555245;0,574097;0,692000;0,769065;0,808608;0,853787;0,902803;0,628576
100;0,331762;0,469757;0,517049;0,535887;0,546776;0,558926;0,587818;0,692956;0,774134;0,815629;0,848611;0,902803;0,634754
101;0,331762;0,459701;0,512974;0,536329;0,547735;0,560881;0,618855;0,743455;0,794227;0,822229;0,856001;0,902803;0,645239
102;-1,000000;0,427627;0,520749;0,541690;0,553048;0,586153;0,702148;0,765816;0,800807;0,823014;0,849552;0,902803;0,657060
103;0,357908;0,469774;0,527477;0,542544;0,556447;0,615206;0,721012;0,768604;0,801055;0,821612;0,852148;0,902803;0,667588
104;-1,000000;0,431120;0,525326;0,542327;0,556464;0,613779;0,716906;0,769947;0,802029;0,823196;0,853713;0,902803;0,663481
105;0,224077;0,478988;0,533875;0,548003;0,571365;0,666382;0,746801;0,781248;0,807254;0,822974;0,850899;0,902803;0,680779
106;-1,000000;0,414875;0,534458;0,551454;0,586475;0,694315;0,754676;0,788013;0,807546;0,822900;0,848180;0,902803;0,680289
107;0,068239;0,452119;0,534358;0,552934;0,614350;0,725268;0,772217;0,796549;0,814930;0,827687;0,855472;0,902803;0,694588
108;0,375171;0,486606;0,539290;0,556946;0,659676;0,745274;0,779782;0,805744;0,819619;0,830713;0,857588;0,902803;0,708124
109;0,386867;0,495561;0,541653;0,558975;0,669165;0,751831;0,789986;0,811177;0,824701;0,839338;0,862431;0,902803;0,714482
110;0,386867;0,503591;0,552341;0,686936;0,764137;0,794838;0,810172;0,821171;0,832824;0,845660;0,864601;0,902803;0,747627
111;0,431735;0,521966;0,558945;0,680515;0,763888;0,796065;0,810170;0,820688;0,833108;0,847554;0,869169;0,902953;0,750207
112;-1,000000;0,476062;0,573175;0,705924;0,762201;0,793979;0,810040;0,820660;0,832587;0,847975;0,870713;0,902953;0,749332
113;-1,000000;0,481514;0,602931;0,713661;0,775818;0,800049;0,812565;0,820869;0,833248;0,846517;0,874253;0,902953;0,756142
114;-1,000000;0,492696;0,634957;0,725284;0,771579;0,799562;0,812649;0,824183;0,835250;0,846714;0,870369;0,902953;0,761324
115;0,273798;0,513604;0,608294;0,718153;0,769226;0,797565;0,810967;0,822245;0,832875;0,844461;0,869761;0,902953;0,758715
116;0,419776;0,528945;0,627285;0,711970;0,757579;0,796650;0,812886;0,823305;0,834497;0,845482;0,870946;0,902953;0,760955
117;-1,000000;0,490697;0,633868;0,720745;0,769649;0,799665;0,817217;0,826948;0,836850;0,848784;0,869836;0,902953;0,761426
118;0,304422;0,520467;0,647753;0,752898;0,792652;0,810244;0,822313;0,832090;0,841693;0,849875;0,873241;0,904353;0,774323
119;0,430768;0,525532;0,644832;0,759751;0,797531;0,815204;0,823074;0,832615;0,842511;0,851791;0,879005;0,902953;0,777184
120;0,442683;0,545728;0,683185;0,768748;0,800716;0,816688;0,825001;0,833680;0,843542;0,853138;0,881952;0,904353;0,785238
121;0,439798;0,562108;0,716555;0,777564;0,802963;0,815837;0,823064;0,832450;0,842459;0,854089;0,883541;0,904353;0,791063
122;0,104897;0,554928;0,729467;0,786265;0,805741;0,817142;0,822686;0,833682;0,844421;0,857322;0,885074;0,904353;0,793673
123;-1,000000;0,499141;0,693281;0,776258;0,802585;0,816371;0,823278;0,833401;0,845758;0,858421;0,883611;0,902953;0,783211
124;-1,000000;0,467661;0,709690;0,787793;0,810410;0,819035;0,827035;0,834274;0,844838;0,855943;0,881918;0,902953;0,783860
125;0,527853;0,586372;0,728024;0,794068;0,812358;0,820576;0,828942;0,837441;0,847895;0,857948;0,890116;0,903312;0,800374
126;0,527853;0,573031;0,730331;0,790501;0,811491;0,821518;0,831079;0,841300;0,850977;0,858326;0,884605;0,902953;0,799316
127;-1,000000;0,532743;0,725357;0,774952;0,801304;0,816441;0,827235;0,837665;0,847612;0,858658;0,886534;0,902953;0,790850
128;0,485623;0,538911;0,706372;0,773938;0,803894;0,816538;0,826885;0,840198;0,850528;0,860630;0,886396;0,904353;0,790429
129;0,421703;0,563818;0,749252;0,797612;0,813275;0,820856;0,831088;0,841694;0,847192;0,856586;0,883623;0,904353;0,800500
130;0,485623;0,588812;0,764655;0,800090;0,815704;0,822563;0,830752;0,840427;0,846046;0,854552;0,880379;0,904353;0,804398
131;-1,000000;0,614732;0,781648;0,809473;0,818608;0,827304;0,834981;0,843952;0,849564;0,859207;0,889880;0,904387;0,812935
132;-1,000000;0,580710;0,770968;0,806650;0,817966;0,826570;0,833896;0,842762;0,848842;0,859498;0,885573;0,904387;0,807343
133;-1,000000;0,584156;0,759885;0,801275;0,817508;0,826446;0,834590;0,843439;0,847752;0,857749;0,883376;0,904387;0,805618
134;0,481862;0,652195;0,770041;0,805202;0,817026;0,824976;0,833917;0,844162;0,849732;0,862362;0,889854;0,904387;0,814947
135;0,481862;0,649292;0,763912;0,803573;0,816386;0,822734;0,832716;0,843885;0,849868;0,864487;0,891251;0,904387;0,813810
136;0,485623;0,662747;0,775004;0,805951;0,818591;0,825851;0,835748;0,844766;0,852610;0,865172;0,894931;0,904387;0,818137
137;0,485623;0,661001;0,772143;0,807752;0,818069;0,824720;0,835611;0,845128;0,854258;0,868069;0,892073;0,904387;0,817882
138;0,149568;0,653853;0,764719;0,804031;0,818461;0,824797;0,833725;0,844169;0,855453;0,871075;0,896125;0,904387;0,816641
139;-1,000000;0,640417;0,790838;0,812831;0,820851;0,830283;0,839325;0,850814;0,860023;0,873933;0,896834;0,904387;0,821615
140;-1,000000;0,616718;0,784807;0,810981;0,820966;0,831655;0,841117;0,848333;0,857220;0,873443;0,895987;0,906193;0,818123
141;0,104897;0,644940;0,788987;0,811719;0,821644;0,832211;0,841839;0,849903;0,860280;0,879560;0,897343;0,915948;0,822843
142;-1,000000;0,543379;0,780794;0,807435;0,819948;0,830236;0,841981;0,848196;0,856860;0,877652;0,897050;0,915534;0,810353
143;-1,000000;0,587115;0,776256;0,802588;0,817351;0,826976;0,836269;0,844922;0,853050;0,863561;0,894694;0,915986;0,810278
144;0,104897;0,676035;0,779026;0,803418;0,816162;0,825752;0,836818;0,846752;0,855557;0,867856;0,893492;0,915986;0,820087
145;0,485623;0,711882;0,784926;0,806135;0,817715;0,826129;0,835000;0,847371;0,855970;0,867162;0,892960;0,915986;0,824525
146;0,485623;0,704965;0,779811;0,805849;0,818721;0,826945;0,835323;0,845219;0,855061;0,867468;0,893114;0,915986;0,823248
147;-1,000000;0,639982;0,780272;0,805231;0,819741;0,827687;0,834675;0,844403;0,852557;0,860437;0,885544;0,915986;0,815053
148;0,485623;0,640382;0,778269;0,809466;0,821983;0,829756;0,836959;0,845451;0,853130;0,859965;0,891783;0,927766;0,816714
149;0,485623;0,654047;0,791142;0,816152;0,828183;0,838029;0,845072;0,850598;0,856506;0,867242;0,894111;0,927766;0,824108
150;-1,000000;0,619839;0,787422;0,816284;0,830006;0,838782;0,845084;0,850663;0,857076;0,869363;0,894123;0,927766;0,820864
151;-1,000000;0,613516;0,795519;0,817524;0,830411;0,835588;0,843544;0,848181;0,856040;0,867743;0,893740;0,927766;0,820181
152;0,546218;0,701783;0,801305;0,817918;0,829079;0,836593;0,843949;0,847979;0,856022;0,867948;0,892617;0,927766;0,829519
153;0,530478;0,716114;0,802677;0,816485;0,827236;0,835660;0,843510;0,850083;0,858133;0,871732;0,893825;0,927766;0,831545
154;0,530478;0,700397;0,798624;0,813140;0,825809;0,833855;0,843079;0,846682;0,855529;0,869759;0,895027;0,927766;0,828190
155;0,490816;0,712223;0,802283;0,816727;0,827901;0,835786;0,843950;0,849548;0,857323;0,870981;0,893280;0,927766;0,831000
156;-1,000000;0,649800;0,802467;0,818018;0,827130;0,833984;0,843993;0,850296;0,859342;0,872669;0,895529;0,927766;0,825323
157;0,292149;0,683658;0,797969;0,817188;0,827470;0,834906;0,844075;0,848973;0,856522;0,870323;0,893166;0,927766;0,827425
158;-1,000000;0,670913;0,807883;0,820462;0,830191;0,838442;0,845200;0,852143;0,859941;0,875931;0,895807;0,927766;0,829691
159;0,292149;0,660909;0,801695;0,819219;0,829585;0,840796;0,845698;0,854185;0,862120;0,879246;0,896548;0,927766;0,829000
160;-1,000000;0,637172;0,796215;0,815807;0,827969;0,839119;0,845456;0,853408;0,859839;0,878676;0,899236;0,927766;0,825290
161;0,537694;0,701178;0,802387;0,816617;0,829489;0,840665;0,846636;0,855843;0,867630;0,887659;0,901445;0,927766;0,834955
162;0,547971;0,731617;0,806801;0,821136;0,831958;0,839918;0,846003;0,855531;0,866836;0,884392;0,904436;0,927766;0,838863
163;0,463624;0,712441;0,810402;0,822227;0,831943;0,839566;0,845862;0,853338;0,868696;0,886478;0,907527;0,927766;0,837848
164;0,508344;0,717432;0,813387;0,823510;0,832784;0,840859;0,846615;0,857770;0,870974;0,886550;0,907168;0,927766;0,839705
165;-1,000000;0,584399;0,808644;0,820066;0,828976;0,835718;0,845314;0,853209;0,865721;0,884180;0,902982;0,927766;0,822921
166;0,169848;0,701784;0,811691;0,821504;0,830615;0,839926;0,848168;0,856958;0,871525;0,887832;0,904887;0,927766;0,837489
167;0,485623;0,709835;0,813317;0,823613;0,831921;0,842112;0,852120;0,860828;0,873509;0,888753;0,902493;0,927766;0,839850
168;0,104897;0,707948;0,814205;0,822786;0,831798;0,841031;0,851667;0,859664;0,871216;0,887379;0,901505;0,927766;0,838920
169;0,104897;0,726858;0,812799;0,821260;0,831237;0,839662;0,849070;0,857879;0,868758;0,884834;0,900412;0,927766;0,839277
170;0,536465;0,742470;0,811542;0,820742;0,831311;0,841571;0,849281;0,859128;0,870271;0,885650;0,904324;0,927766;0,841629
171;0,527853;0,697762;0,808776;0,819815;0,830376;0,839615;0,846559;0,856636;0,868071;0,884296;0,902545;0,927766;0,835445
172;0,527853;0,717590;0,809235;0,821438;0,831558;0,841118;0,848553;0,856699;0,869898;0,886033;0,904101;0,927766;0,838622
173;0,527853;0,717028;0,809038;0,822178;0,832061;0,842189;0,845924;0,855232;0,862821;0,875684;0,897175;0,927766;0,835933
174;-1,000000;0,678229;0,811393;0,822272;0,830324;0,841360;0,845938;0,854902;0,863111;0,875875;0,900357;0,927766;0,832376
175;-1,000000;0,669286;0,811392;0,822225;0,831018;0,840630;0,849612;0,856976;0,866928;0,879144;0,901759;0,927766;0,832897
176;0,492670;0,668688;0,808142;0,822531;0,830770;0,836303;0,844783;0,853762;0,865022;0,877948;0,900133;0,927766;0,830808
