Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Najboljši;Povprečje
0;-1,000000;-1,000000;-1,000000;-0,648799;-0,099004;-0,040312;-0,012989;0,003862;0,025640;0,058310;0,153792;0,311501;-0,255950
1;-1,000000;-0,716275;-0,108597;-0,057102;-0,026687;-0,007034;0,008464;0,024089;0,044626;0,077601;0,166839;0,311501;-0,059408
2;-1,000000;-0,941275;-0,142638;-0,067612;-0,028079;-0,008664;0,009522;0,028804;0,047869;0,090567;0,191851;0,311501;-0,081965
3;-1,000000;-0,811975;-0,096775;-0,039427;-0,011455;0,003673;0,019873;0,038639;0,063836;0,108698;0,205687;0,311501;-0,051922
4;-1,000000;-0,832450;-0,080524;-0,035277;-0,009005;0,007582;0,027525;0,049671;0,077398;0,120233;0,211122;0,355597;-0,046373
5;-1,000000;-0,514544;-0,052895;-0,021269;-0,002294;0,017228;0,042573;0,064638;0,096617;0,140384;0,225791;0,355597;-0,000377
6;-1,000000;-0,829661;-0,068832;-0,024321;-0,002632;0,013983;0,037600;0,065176;0,103010;0,154222;0,245183;0,356034;-0,030627
7;-1,000000;-0,726564;-0,064757;-0,015804;0,001208;0,019937;0,046050;0,074681;0,107152;0,162289;0,262546;0,356034;-0,013326
8;-1,000000;-0,687204;-0,040686;-0,010595;0,003886;0,025757;0,046536;0,079451;0,120096;0,159247;0,250287;0,356034;-0,005323
9;-1,000000;-0,422985;-0,029626;-0,002647;0,021264;0,045351;0,068594;0,104058;0,135741;0,183289;0,273390;0,356034;0,037643
10;-1,000000;-0,412637;-0,028458;-0,002502;0,021843;0,043308;0,068641;0,098253;0,137056;0,186352;0,280549;0,392473;0,039241
11;-1,000000;-0,935939;-0,069090;-0,019210;0,000443;0,027722;0,062355;0,088849;0,133539;0,190824;0,285319;0,392473;-0,023519
12;-1,000000;-0,560988;-0,034863;-0,009121;0,005786;0,031627;0,055600;0,084692;0,127454;0,183773;0,285579;0,420170;0,016954
13;-1,000000;-0,709230;-0,033625;-0,008393;0,005770;0,030963;0,057773;0,088876;0,130718;0,187273;0,298262;0,426319;0,004839
14;-1,000000;-0,526539;-0,030949;-0,005702;0,011265;0,040379;0,071554;0,105942;0,154222;0,201420;0,318906;0,426319;0,034050
15;-1,000000;-0,410753;-0,019746;0,001155;0,031704;0,061924;0,092875;0,127807;0,178071;0,223892;0,334421;0,426319;0,062135
16;-1,000000;-0,632126;-0,009215;0,014163;0,038072;0,065513;0,091433;0,121827;0,170491;0,221714;0,319548;0,426319;0,040142
17;-1,000000;-0,379597;-0,010474;0,015849;0,036493;0,065686;0,096093;0,134104;0,182325;0,243416;0,352348;0,428506;0,073624
18;-1,000000;-0,607434;-0,014794;0,019791;0,046299;0,072230;0,099807;0,142999;0,190504;0,258056;0,381211;0,436636;0,058867
19;-1,000000;-0,835577;-0,037419;0,007830;0,039738;0,072078;0,106977;0,145295;0,196023;0,262606;0,384637;0,436636;0,034219
20;-1,000000;-0,524170;-0,017227;0,018659;0,054160;0,086721;0,118361;0,151820;0,197386;0,277785;0,398938;0,436636;0,076243
21;-1,000000;-0,324694;0,004489;0,039303;0,066472;0,101355;0,133994;0,171305;0,244975;0,334544;0,408373;0,443291;0,118012
22;-1,000000;-0,506748;0,009293;0,043517;0,067120;0,097818;0,137004;0,174869;0,246111;0,337349;0,410000;0,443291;0,101633
23;-1,000000;-0,420015;0,024812;0,055112;0,070813;0,106326;0,150522;0,197103;0,269916;0,345049;0,413190;0,443291;0,121283
24;-1,000000;-0,255511;0,037269;0,061555;0,095156;0,137379;0,190311;0,236103;0,290291;0,348806;0,413005;0,443291;0,155436
25;-1,000000;-0,203924;0,041240;0,072930;0,110896;0,152299;0,199391;0,235104;0,282786;0,339165;0,404244;0,449291;0,163413
26;-1,000000;-0,038628;0,052485;0,077017;0,117724;0,147958;0,196092;0,230411;0,279934;0,344742;0,411446;0,449291;0,181918
27;-1,000000;-0,042844;0,057791;0,097275;0,150033;0,199713;0,239929;0,286297;0,333023;0,380556;0,420886;0,449291;0,212266
28;-1,000000;-0,086973;0,048130;0,086047;0,133729;0,178381;0,220125;0,257715;0,312276;0,371721;0,419031;0,449291;0,194018
29;-1,000000;-0,080411;0,052197;0,092856;0,132737;0,184910;0,230607;0,268365;0,320540;0,370212;0,418355;0,449291;0,199037
30;-0,038096;0,012150;0,071412;0,115478;0,161142;0,199063;0,237291;0,282511;0,330581;0,375364;0,422350;0,449291;0,220734
31;-1,000000;-0,152391;0,063431;0,102768;0,140351;0,178833;0,221320;0,273617;0,317724;0,370027;0,424140;0,454859;0,193982
32;-1,000000;-0,104612;0,072567;0,108810;0,142771;0,183046;0,232244;0,272151;0,320595;0,377759;0,429469;0,454859;0,203480
33;-0,026609;0,024422;0,084170;0,125474;0,162619;0,202432;0,243417;0,283073;0,336152;0,385273;0,431195;0,458032;0,227823
34;-1,000000;-0,061034;0,073426;0,110020;0,163770;0,201218;0,240057;0,281075;0,316457;0,362659;0,423721;0,458032;0,211137
35;-0,044813;0,025428;0,080891;0,114292;0,159930;0,197594;0,233038;0,276282;0,308489;0,360142;0,425967;0,458032;0,218205
36;-1,000000;-0,059864;0,072182;0,105330;0,158171;0,194759;0,237633;0,279033;0,305266;0,345662;0,422818;0,458032;0,206099
37;-1,000000;-0,063598;0,068221;0,117780;0,174557;0,220431;0,255275;0,296893;0,329289;0,387508;0,435469;0,487646;0,222183
38;-1,000000;-0,007914;0,091869;0,149556;0,202964;0,234234;0,267224;0,307178;0,352764;0,392289;0,438031;0,487646;0,242819
39;-0,052148;0,033985;0,096256;0,159675;0,216248;0,256035;0,289324;0,331452;0,373411;0,403749;0,437691;0,487646;0,259782
40;-1,000000;-0,038767;0,110492;0,170623;0,213724;0,250901;0,290390;0,330835;0,374411;0,411050;0,444890;0,487646;0,255855
41;-1,000000;0,016487;0,116674;0,170804;0,214961;0,251564;0,285051;0,328643;0,372532;0,411103;0,445815;0,487834;0,261363
42;-0,017702;0,052554;0,125196;0,177948;0,219851;0,264266;0,299505;0,341849;0,377395;0,404020;0,442420;0,487834;0,270500
43;-1,000000;0,008387;0,120371;0,173937;0,222043;0,265852;0,303899;0,343357;0,380561;0,405673;0,447703;0,487834;0,267178
44;-1,000000;-0,032992;0,120659;0,174532;0,218797;0,260200;0,293446;0,333537;0,376781;0,406944;0,453099;0,487834;0,260500
45;-1,000000;-0,039734;0,121147;0,178371;0,224921;0,258889;0,298212;0,351474;0,394412;0,422465;0,458449;0,487834;0,266861
46;-1,000000;-0,078628;0,117751;0,175256;0,223576;0,263423;0,301131;0,349287;0,391652;0,419483;0,461262;0,487834;0,262419
47;0,004904;0,070544;0,161613;0,220950;0,266344;0,301083;0,331424;0,364807;0,393644;0,425365;0,461019;0,487834;0,299679
48;-0,001647;0,063458;0,147167;0,214710;0,268194;0,306150;0,339990;0,370411;0,401857;0,429037;0,462935;0,487834;0,300391
49;-1,000000;0,024625;0,168505;0,228598;0,279362;0,317440;0,351045;0,382313;0,411045;0,434464;0,466402;0,487834;0,306380
50;0,046028;0,107321;0,195461;0,238356;0,282759;0,325911;0,355261;0,383203;0,403690;0,422687;0,458421;0,487834;0,317307
51;0,046488;0,128673;0,229851;0,276659;0,314347;0,347195;0,371105;0,392385;0,410501;0,423362;0,460623;0,487834;0,335470
52;0,046488;0,124052;0,224592;0,284172;0,320687;0,354466;0,376620;0,400542;0,415813;0,431662;0,461265;0,487834;0,339387
53;0,038439;0,139528;0,247156;0,299657;0,328632;0,357814;0,379619;0,398612;0,413248;0,430667;0,456045;0,487834;0,345098
54;0,067740;0,140893;0,240476;0,293706;0,330477;0,360965;0,379986;0,401026;0,414751;0,429547;0,456737;0,487834;0,344856
55;0,076895;0,150128;0,248650;0,306670;0,336077;0,367318;0,382107;0,401473;0,414207;0,426960;0,456239;0,487834;0,348983
56;0,060115;0,156047;0,262165;0,299753;0,324935;0,361881;0,380827;0,402782;0,418952;0,431511;0,461712;0,487834;0,350056
57;0,056901;0,139163;0,249210;0,297678;0,323299;0,353851;0,374938;0,398398;0,418577;0,431897;0,455504;0,487834;0,344252
58;0,007413;0,133531;0,255435;0,297614;0,320509;0,355468;0,377561;0,402756;0,420028;0,434240;0,457757;0,487834;0,345490
59;-1,000000;0,107048;0,262946;0,303210;0,334319;0,369011;0,388755;0,407584;0,422367;0,436618;0,458987;0,487834;0,349085
60;0,040459;0,146560;0,259914;0,305236;0,339810;0,370069;0,389001;0,405375;0,417908;0,430391;0,456642;0,487834;0,352091
61;0,052297;0,146181;0,265971;0,314029;0,351764;0,377363;0,400406;0,416076;0,425751;0,436826;0,465684;0,487891;0,360005
62;0,057971;0,148994;0,252137;0,319944;0,350937;0,377391;0,398971;0,415104;0,426634;0,436981;0,457462;0,487891;0,358456
63;0,057971;0,155704;0,252020;0,319139;0,360941;0,387533;0,407921;0,417329;0,427371;0,438898;0,462297;0,487891;0,362915
64;0,057971;0,145566;0,254893;0,317059;0,363334;0,389232;0,404778;0,414921;0,423613;0,434755;0,461200;0,487891;0,360935
65;0,054897;0,161559;0,279944;0,349570;0,378408;0,399808;0,412680;0,419643;0,426892;0,437947;0,463252;0,487891;0,372970
66;0,115649;0,185189;0,304910;0,357802;0,384803;0,402944;0,414075;0,419614;0,428250;0,437171;0,468212;0,487891;0,380297
67;0,080942;0,177739;0,314593;0,354981;0,382721;0,403382;0,414249;0,419616;0,428487;0,441057;0,466985;0,487891;0,380381
68;0,060115;0,154443;0,300198;0,348699;0,381670;0,402640;0,414670;0,420389;0,429956;0,441216;0,464147;0,487891;0,375803
69;0,055962;0,208397;0,332302;0,365007;0,391928;0,411385;0,418165;0,424234;0,432677;0,443620;0,464426;0,487891;0,389214
70;0,055962;0,215348;0,333244;0,366834;0,391211;0,413847;0,418213;0,423473;0,432560;0,441879;0,462829;0,487891;0,389944
71;0,055962;0,243565;0,351676;0,381120;0,400365;0,412333;0,417363;0,423864;0,432811;0,445271;0,468746;0,487891;0,397712
72;0,047251;0,186374;0,320663;0,359823;0,393126;0,406391;0,415543;0,421188;0,430493;0,445210;0,473109;0,487891;0,385192
73;0,054280;0,212646;0,333163;0,383110;0,402302;0,413022;0,418034;0,424350;0,433295;0,446627;0,471919;0,487891;0,393847
74;0,054280;0,228072;0,322206;0,361678;0,396580;0,408517;0,416015;0,421639;0,429975;0,444302;0,472248;0,487891;0,390123
75;0,051891;0,191179;0,312717;0,354585;0,383815;0,403847;0,414912;0,418156;0,427357;0,443079;0,467168;0,487891;0,381682
76;0,060115;0,217199;0,319529;0,358044;0,390518;0,407339;0,415583;0,420683;0,430273;0,447985;0,472009;0,487891;0,387916
77;0,079474;0,191134;0,305624;0,346840;0,372737;0,398911;0,412712;0,418192;0,426808;0,442576;0,468052;0,487891;0,378359
78;0,113791;0,243639;0,320700;0,358224;0,391546;0,407323;0,415507;0,422666;0,434358;0,447303;0,470557;0,487891;0,391182
79;0,113791;0,249717;0,329432;0,364233;0,391850;0,406572;0,413819;0,418411;0,427487;0,439713;0,465995;0,487891;0,390723
80;0,128146;0,260285;0,337669;0,367932;0,395691;0,409680;0,416359;0,424171;0,432078;0,443773;0,470522;0,487891;0,395816
81;0,047265;0,218873;0,325385;0,364534;0,392878;0,409749;0,417988;0,426829;0,435551;0,447034;0,475866;0,487891;0,391469
82;0,047265;0,237969;0,309146;0,354047;0,381861;0,405797;0,416581;0,425693;0,435112;0,447177;0,475427;0,487891;0,388881
83;0,067005;0,228209;0,324608;0,364659;0,391627;0,410282;0,418694;0,427260;0,435536;0,445608;0,469741;0,487891;0,391622
84;0,067005;0,246695;0,336910;0,363558;0,391589;0,409161;0,416314;0,424466;0,433150;0,441156;0,463384;0,487891;0,392638
85;0,056732;0,247765;0,332302;0,365391;0,389318;0,407924;0,417943;0,424375;0,433867;0,443193;0,463600;0,487891;0,392568
86;0,056732;0,251428;0,323549;0,363575;0,389408;0,410431;0,417639;0,425309;0,434759;0,445337;0,466250;0,487891;0,392769
87;0,056732;0,252198;0,335755;0,369380;0,391240;0,410263;0,417926;0,425425;0,434122;0,443431;0,466244;0,487891;0,394599
