Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Best;Average
40;0,090083;0,619835;0,699934;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,702909;0,723967;0,692268
41;0,288430;0,613587;0,699537;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,703240;0,723967;0,691636
42;0,039669;0,550281;0,698446;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,702512;0,723967;0,685124
43;0,293388;0,630810;0,698050;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,704661;0,723967;0,693352
44;0,346281;0,643769;0,697355;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,704562;0,723967;0,694569
45;0,500000;0,662843;0,699074;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,703041;0,723967;0,696496
46;0,339669;0,628000;0,698413;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,703339;0,723967;0,692975
47;0,259504;0,548066;0,688463;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,703504;0,723967;0,684003
48;0,063636;0,492727;0,681818;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,703306;0,723967;0,677785
49;0,222314;0,605950;0,699537;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,701983;0,723967;0,690747
50;0,276033;0,574876;0,694479;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,701917;0,723967;0,687127
51;0,345455;0,611835;0,692628;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,701917;0,723967;0,690638
52;0,043802;0,465785;0,684893;0,698843;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,701917;0,723967;0,675144
53;0,039669;0,500198;0,686744;0,698942;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,702876;0,723967;0,678876
54;0,039669;0,521025;0,685818;0,697388;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,702876;0,723967;0,680711
55;0,460331;0,630017;0,696529;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,701917;0,723967;0,692846
56;0,039669;0,576000;0,699008;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,702512;0,723967;0,687752
57;0,222314;0,544298;0,692727;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,703140;0,723967;0,684017
58;0,301653;0,586711;0,692364;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,703636;0,723967;0,688271
59;0,222314;0,565124;0,684033;0,699008;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,704000;0,723967;0,685217
60;0,331405;0,635802;0,698050;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,703868;0,723967;0,693772
