Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Najboljši;Povprečje
0;0,000000;0,000253;0,000809;0,002102;0,004878;0,019866;0,049656;0,078905;0,137066;0,331907;0,744918;0,811954;0,137036
1;0,000230;0,005459;0,050398;0,114771;0,161810;0,362638;0,570697;0,676850;0,747861;0,782240;0,794734;0,832690;0,426746
2;0,000161;0,012272;0,086666;0,273429;0,548161;0,656690;0,725474;0,770886;0,782197;0,783365;0,799995;0,852046;0,543913
3;0,000368;0,017293;0,148269;0,497803;0,659575;0,721267;0,761360;0,781470;0,782866;0,783885;0,805595;0,852046;0,595938
4;0,000437;0,011583;0,108221;0,565360;0,706535;0,757981;0,781213;0,782728;0,783234;0,784565;0,810617;0,852046;0,609204
5;0,000299;0,027800;0,413407;0,693120;0,750541;0,777023;0,781594;0,782677;0,783135;0,784362;0,810479;0,852046;0,660414
6;0,000000;0,048268;0,539329;0,734938;0,772766;0,781123;0,782418;0,782962;0,783412;0,787939;0,818298;0,852046;0,683145
7;0,000368;0,076627;0,580677;0,752871;0,778778;0,781900;0,782699;0,783090;0,783456;0,787366;0,822120;0,857724;0,692958
8;0,000184;0,113408;0,638888;0,748194;0,778063;0,781636;0,782624;0,783199;0,783612;0,790384;0,823566;0,857724;0,702358
9;0,000552;0,238591;0,723511;0,768143;0,780651;0,782052;0,782803;0,783231;0,783578;0,785233;0,823031;0,858736;0,725082
10;0,000138;0,111828;0,669199;0,769311;0,781233;0,782215;0,782845;0,783225;0,783565;0,788036;0,827574;0,868667;0,707903
11;0,000069;0,296245;0,735877;0,778676;0,781738;0,782343;0,782930;0,783242;0,783563;0,786265;0,825303;0,868667;0,733618
12;0,003195;0,224394;0,722747;0,779859;0,781996;0,782594;0,783026;0,783276;0,783523;0,785643;0,827300;0,868667;0,725436
13;0,003264;0,410091;0,760953;0,780984;0,782097;0,782629;0,782935;0,783208;0,783437;0,784122;0,823459;0,868667;0,747392
14;0,024989;0,552444;0,779080;0,781667;0,782193;0,782694;0,782991;0,783256;0,783491;0,783886;0,815959;0,868667;0,762766
15;0,002782;0,556113;0,780757;0,781831;0,782229;0,782658;0,782976;0,783241;0,783456;0,783766;0,822814;0,868667;0,763984
16;0,012644;0,620669;0,781169;0,781818;0,782258;0,782686;0,782974;0,783233;0,783406;0,783699;0,816866;0,868667;0,769878
17;0,017954;0,575980;0,777676;0,781702;0,782154;0,782501;0,782759;0,783112;0,783360;0,783651;0,817268;0,868667;0,765016
18;0,028966;0,561017;0,780230;0,781992;0,782342;0,782644;0,782991;0,783318;0,783526;0,784909;0,823454;0,868667;0,764642
19;0,006736;0,469424;0,780589;0,782025;0,782391;0,782832;0,783119;0,783336;0,783491;0,783846;0,817359;0,868667;0,754841
20;0,001195;0,497525;0,781320;0,782167;0,782612;0,782947;0,783181;0,783383;0,783595;0,785311;0,814309;0,868667;0,757635
21;0,001908;0,571110;0,781165;0,782109;0,782552;0,782894;0,783179;0,783353;0,783562;0,785798;0,817600;0,868667;0,765332
22;0,155931;0,708962;0,781807;0,782220;0,782637;0,782971;0,783198;0,783356;0,783578;0,787750;0,821024;0,868667;0,779750
23;0,000138;0,705091;0,781844;0,782318;0,782632;0,782929;0,783101;0,783268;0,783529;0,785908;0,817056;0,868667;0,778767
24;0,009494;0,653170;0,782095;0,782497;0,782714;0,782954;0,783103;0,783288;0,783550;0,787709;0,820282;0,868667;0,774136
25;0,155678;0,738094;0,782149;0,782490;0,782675;0,782909;0,783023;0,783187;0,783380;0,784262;0,807765;0,868667;0,780993
26;0,374322;0,763214;0,782040;0,782446;0,782691;0,782924;0,783057;0,783194;0,783393;0,785193;0,818377;0,868667;0,784653
27;0,070299;0,725263;0,782005;0,782359;0,782614;0,782861;0,783040;0,783177;0,783366;0,786561;0,821813;0,868667;0,781306
28;0,307885;0,759109;0,781971;0,782330;0,782566;0,782791;0,783013;0,783213;0,783500;0,789115;0,818620;0,868667;0,784623
29;0,003310;0,744553;0,782091;0,782437;0,782685;0,782886;0,783044;0,783240;0,783501;0,789787;0,819682;0,868667;0,783390
30;0,715609;0,777257;0,782224;0,782549;0,782739;0,782951;0,783130;0,783369;0,784498;0,796486;0,820337;0,868667;0,787554
31;0,246851;0,727406;0,782240;0,782577;0,782735;0,782942;0,783143;0,783329;0,784936;0,797173;0,823744;0,868667;0,783022
