Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Best;Average
0;-1,000000;-1,000000;-1,000000;-0,984310;-0,126519;-0,057608;-0,024036;-0,002318;0,018204;0,059493;0,151282;0,268764;-0,296581
1;-1,000000;-0,432379;-0,075390;-0,047078;-0,025072;-0,009462;0,001782;0,018045;0,043833;0,096886;0,182851;0,268764;-0,024598
2;-1,000000;-0,685821;-0,082888;-0,039859;-0,018688;-0,005630;0,003702;0,020018;0,049818;0,094291;0,196702;0,270228;-0,046835
3;-1,000000;-0,643272;-0,073448;-0,032651;-0,016114;-0,003819;0,007496;0,022966;0,054509;0,104297;0,194208;0,283291;-0,038583
4;-1,000000;-0,452404;-0,059763;-0,028180;-0,015453;-0,001651;0,011203;0,029187;0,054970;0,096347;0,184324;0,283291;-0,018142
5;-1,000000;-0,658751;-0,073592;-0,029675;-0,014712;-0,002189;0,011193;0,025825;0,055122;0,097124;0,192490;0,283291;-0,039716
6;-1,000000;-0,708890;-0,077941;-0,032582;-0,014711;-0,002407;0,009563;0,027560;0,059995;0,091209;0,188143;0,283291;-0,046006
7;-1,000000;-0,590357;-0,054680;-0,024446;-0,008090;0,002082;0,015856;0,036903;0,064778;0,096809;0,181194;0,283291;-0,027995
8;-1,000000;-0,567660;-0,044386;-0,019106;-0,004042;0,004886;0,020361;0,042351;0,066615;0,111346;0,193130;0,283291;-0,019651
9;-1,000000;-0,644491;-0,050561;-0,020707;-0,003434;0,009403;0,026649;0,052913;0,083780;0,130245;0,207071;0,283291;-0,020913
10;-1,000000;-0,806706;-0,050796;-0,017120;0,000666;0,013818;0,029946;0,052429;0,080348;0,124951;0,212732;0,300781;-0,035973
11;-1,000000;-0,712835;-0,035216;-0,008398;0,005397;0,019564;0,036542;0,060660;0,089360;0,142470;0,245897;0,358043;-0,015656
12;-1,000000;-0,578975;-0,029359;-0,003877;0,008470;0,023589;0,040630;0,067591;0,094025;0,150723;0,229863;0,358043;0,000268
13;-1,000000;-0,603152;-0,027711;-0,004014;0,009469;0,026758;0,046801;0,072516;0,101707;0,158955;0,240888;0,358043;0,002222
14;-1,000000;-0,594382;-0,038114;-0,007064;0,008009;0,022672;0,039962;0,068485;0,091690;0,145641;0,244303;0,358043;-0,001880
