Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Najboljši;Povprečje
0;0,000000;0,112857;0,331429;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,473333;0,666667;0,325095
1;0,009524;0,256190;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,334762;0,543333;0,666667;0,346762
2;0,000000;0,201905;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,381905;0,643810;0,666667;0,356095
3;0,000000;0,230952;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,353333;0,562857;0,666190;0,666667;0,381333
4;0,000000;0,227143;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,403333;0,642857;0,666667;0,666667;0,394000
5;0,000000;0,223810;0,333333;0,333333;0,333333;0,333333;0,333333;0,340952;0,517619;0,660476;0,666667;0,666667;0,407619
6;0,000000;0,255714;0,333333;0,333333;0,333333;0,333333;0,333333;0,386190;0,604286;0,664286;0,670476;0,742857;0,424762
7;0,000000;0,269524;0,333333;0,333333;0,333333;0,333333;0,350000;0,562857;0,655714;0,666667;0,676667;0,742857;0,451476
8;0,114286;0,311429;0,333333;0,333333;0,333333;0,333333;0,346190;0,579048;0,661905;0,666667;0,678095;0,742857;0,457667
9;0,057143;0,306190;0,333333;0,333333;0,333333;0,333810;0,483333;0,630952;0,666667;0,666667;0,681905;0,742857;0,476952
10;0,333333;0,333333;0,333333;0,333333;0,334286;0,462381;0,630476;0,665714;0,666667;0,666667;0,687143;0,742857;0,511333
11;0,047619;0,313333;0,333333;0,333333;0,393333;0,594286;0,660000;0,666667;0,666667;0,666667;0,687143;0,742857;0,531476
12;0,304762;0,331905;0,333333;0,333333;0,413810;0,615238;0,664762;0,666667;0,666667;0,666667;0,692857;0,761905;0,538524
13;0,266667;0,330000;0,333333;0,334286;0,434286;0,621905;0,664762;0,666667;0,666667;0,666667;0,689048;0,761905;0,540762
14;0,028571;0,312381;0,333333;0,350952;0,514762;0,642857;0,666190;0,666667;0,666667;0,666667;0,703810;0,933333;0,552429
15;0,314286;0,332381;0,333333;0,388095;0,531905;0,638571;0,666667;0,666667;0,666667;0,666667;0,702857;0,933333;0,559381
16;0,276190;0,330000;0,333333;0,404286;0,584762;0,656667;0,666667;0,666667;0,666667;0,666667;0,721429;0,933333;0,569714
17;0,276190;0,329048;0,333333;0,362381;0,578095;0,660000;0,666667;0,666667;0,666667;0,666667;0,733810;0,933333;0,566333
18;0,333333;0,333333;0,333333;0,366667;0,562857;0,654286;0,666667;0,666667;0,666667;0,666667;0,721429;0,933333;0,563857
19;0,333333;0,333333;0,333333;0,335238;0,452381;0,639524;0,665714;0,666667;0,666667;0,666667;0,729524;0,933333;0,548905
20;0,333333;0,333333;0,333333;0,360952;0,498571;0,623333;0,665714;0,666667;0,666667;0,666667;0,746190;0,933333;0,556143
21;0,333333;0,333333;0,333810;0,379048;0,539524;0,654762;0,666667;0,666667;0,666667;0,666667;0,766190;0,961905;0,567333
22;0,333333;0,333333;0,338095;0,465714;0,649048;0,666667;0,666667;0,666667;0,666667;0,666667;0,773333;0,961905;0,589286
23;0,333333;0,333333;0,344286;0,486667;0,627143;0,662381;0,666667;0,666667;0,666667;0,666667;0,770476;0,961905;0,589095
24;0,333333;0,333333;0,355714;0,503810;0,625714;0,660476;0,666667;0,666667;0,666667;0,666667;0,787619;0,961905;0,593333
25;0,333333;0,333333;0,381905;0,535714;0,643333;0,664762;0,666667;0,666667;0,666667;0,666667;0,800476;0,961905;0,602619
26;0,333333;0,333333;0,389524;0,530476;0,633333;0,665238;0,666667;0,666667;0,666667;0,669048;0,848095;0,961905;0,606905
27;0,333333;0,333333;0,401905;0,582857;0,644762;0,665714;0,666667;0,666667;0,666667;0,667143;0,834286;0,961905;0,613000
28;0,333333;0,333333;0,370952;0,550952;0,630952;0,661429;0,666667;0,666667;0,666667;0,666667;0,824286;0,961905;0,603857
29;0,333333;0,333333;0,410476;0,577143;0,650476;0,665238;0,666667;0,666667;0,666667;0,670000;0,850000;0,961905;0,615667
30;0,333333;0,334286;0,375238;0,542857;0,647143;0,666190;0,666667;0,666667;0,666667;0,667619;0,852857;0,961905;0,608619
31;0,333333;0,339524;0,465714;0,619048;0,663333;0,666667;0,666667;0,666667;0,666667;0,675238;0,881429;0,961905;0,631095
32;0,333333;0,339048;0,502381;0,635714;0,666667;0,666667;0,666667;0,666667;0,666667;0,690476;0,900476;0,961905;0,640143
33;0,333333;0,335238;0,436190;0,621429;0,661429;0,666667;0,666667;0,666667;0,666667;0,670476;0,870000;0,961905;0,626143
34;0,333333;0,334286;0,487619;0,641905;0,666190;0,666667;0,666667;0,666667;0,666667;0,670952;0,880952;0,961905;0,634857
35;0,333333;0,336667;0,539524;0,651429;0,666667;0,666667;0,666667;0,666667;0,666667;0,671905;0,881429;0,961905;0,641429
36;0,333333;0,341905;0,510000;0,636190;0,665238;0,666667;0,666667;0,666667;0,666667;0,673333;0,881905;0,971429;0,637524
37;0,333333;0,350476;0,529048;0,659524;0,666667;0,666667;0,666667;0,666667;0,666667;0,679524;0,925238;0,971429;0,647714
38;0,333333;0,350000;0,570000;0,661905;0,666667;0,666667;0,666667;0,666667;0,666667;0,709524;0,942381;0,971429;0,656714
39;0,333333;0,389048;0,622857;0,666667;0,666667;0,666667;0,666667;0,666667;0,666667;0,758095;0,943333;0,971429;0,671333
40;0,333333;0,372857;0,611905;0,660476;0,666667;0,666667;0,666667;0,666667;0,668571;0,784286;0,939524;0,971429;0,670429
41;0,333333;0,359524;0,592381;0,657143;0,666667;0,666667;0,666667;0,666667;0,670476;0,808571;0,941429;0,971429;0,669619
42;0,333333;0,337619;0,544286;0,650952;0,666667;0,666667;0,666667;0,666667;0,675714;0,820476;0,943810;0,971429;0,663952
43;0,333333;0,356190;0,563333;0,663333;0,666667;0,666667;0,666667;0,666667;0,686190;0,829048;0,943333;0,971429;0,670810
44;0,333333;0,347619;0,550476;0,661429;0,666667;0,666667;0,666667;0,666667;0,673810;0,824286;0,945714;0,971429;0,667000
45;0,333333;0,440000;0,634286;0,666667;0,666667;0,666667;0,666667;0,666667;0,676190;0,811429;0,944286;0,971429;0,683952
46;0,333333;0,380476;0,593333;0,666667;0,666667;0,666667;0,666667;0,666667;0,668571;0,839524;0,953810;0,971429;0,676905
47;0,333333;0,348571;0,550000;0,659048;0,666667;0,666667;0,666667;0,666667;0,693810;0,840952;0,946667;0,971429;0,670571
48;0,333333;0,341429;0,471429;0,640000;0,666667;0,666667;0,666667;0,666667;0,671905;0,778095;0,938571;0,971429;0,650810
49;0,333333;0,340000;0,520476;0,660952;0,666667;0,666667;0,666667;0,666667;0,669524;0,761905;0,924762;0,971429;0,654429
50;0,333333;0,359048;0,555238;0,662857;0,666667;0,666667;0,666667;0,666667;0,672857;0,763810;0,900000;0,971429;0,658048
51;0,333333;0,360952;0,594286;0,666667;0,666667;0,666667;0,666667;0,666667;0,707143;0,800000;0,926667;0,971429;0,672238
