Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Best;Average
46;0,257143;0,329524;0,341905;0,423810;0,588095;0,654762;0,666667;0,666667;0,666667;0,666667;0,870476;0,961905;0,587524
47;0,333333;0,333333;0,333333;0,397143;0,613810;0,660000;0,666667;0,666667;0,666667;0,666667;0,852857;0,961905;0,585714
48;0,333333;0,333333;0,348095;0,478095;0,621429;0,659048;0,666667;0,666667;0,666667;0,666667;0,887143;0,961905;0,599381
49;0,333333;0,333333;0,342857;0,496667;0,625238;0,659524;0,666667;0,666667;0,666667;0,666667;0,915714;0,961905;0,604000
50;0,333333;0,333333;0,334762;0,385714;0,546667;0,636667;0,663810;0,666667;0,666667;0,666667;0,880000;0,961905;0,578095
51;0,238095;0,326667;0,333333;0,382857;0,557619;0,656190;0,666667;0,666667;0,666667;0,686667;0,953810;0,961905;0,589714
52;0,295238;0,331429;0,333333;0,371429;0,544286;0,659524;0,666667;0,666667;0,666667;0,689048;0,957619;0,961905;0,588667
53;0,190476;0,326190;0,339524;0,474286;0,614762;0,664762;0,666667;0,666667;0,666667;0,750952;0,961905;0,961905;0,613238
54;0,333333;0,333333;0,338571;0,431905;0,590000;0,660476;0,666667;0,666667;0,666667;0,710476;0,957143;0,961905;0,602190
55;0,333333;0,333333;0,373333;0,573810;0,659048;0,666667;0,666667;0,666667;0,666667;0,740952;0,957143;0,961905;0,630429
56;0,333333;0,333333;0,426667;0,625714;0,665238;0,666667;0,666667;0,666667;0,676667;0,860000;0,961905;0,961905;0,654952
57;0,333333;0,333333;0,453333;0,636667;0,666667;0,666667;0,666667;0,666667;0,702857;0,909048;0,962381;0,971429;0,666429
58;0,333333;0,333333;0,337619;0,514762;0,660476;0,666667;0,666667;0,666667;0,688571;0,889524;0,962381;0,971429;0,638667
59;0,333333;0,333333;0,342857;0,530000;0,656190;0,666667;0,666667;0,666667;0,699048;0,893333;0,962381;0,971429;0,641714
60;0,333333;0,333333;0,356667;0,562857;0,659524;0,666667;0,666667;0,666667;0,681429;0,841429;0,961905;0,961905;0,639714
61;0,333333;0,333333;0,417619;0,622857;0,664286;0,666667;0,666667;0,671905;0,792857;0,956190;0,962381;0,971429;0,675476
62;0,333333;0,339524;0,558571;0,662857;0,666667;0,666667;0,666667;0,709524;0,867619;0,961905;0,962857;0,971429;0,706286
63;0,333333;0,399524;0,632857;0,666667;0,666667;0,666667;0,666667;0,715714;0,913810;0,961905;0,963333;0,971429;0,725381
64;0,333333;0,354286;0,598095;0,666667;0,666667;0,666667;0,671905;0,785238;0,937619;0,961905;0,963810;0,971429;0,727286
65;0,333333;0,340952;0,535714;0,666190;0,666667;0,666667;0,676190;0,806667;0,933810;0,961429;0,963333;0,971429;0,721762
66;0,333333;0,430000;0,664762;0,666667;0,666667;0,668095;0,719524;0,852857;0,945714;0,961905;0,964286;0,971429;0,754048
67;0,333333;0,428571;0,663333;0,666667;0,666667;0,670000;0,770476;0,889524;0,941905;0,961905;0,963333;0,971429;0,762238
68;0,333333;0,463333;0,656667;0,666667;0,666667;0,670476;0,749048;0,868571;0,944762;0,961905;0,963333;0,971429;0,761143
69;0,333333;0,504762;0,662857;0,666667;0,666667;0,710000;0,851429;0,909524;0,949524;0,961905;0,963810;0,971429;0,784714
70;0,333333;0,429048;0,651429;0,666667;0,667619;0,708571;0,834762;0,903810;0,941905;0,961905;0,963333;0,971429;0,772905
71;0,333333;0,488095;0,666667;0,666667;0,673810;0,756667;0,870000;0,915714;0,957619;0,961905;0,965238;0,971429;0,792238
72;0,333333;0,408571;0,655238;0,666667;0,666667;0,738095;0,869048;0,930000;0,959524;0,961905;0,964286;0,971429;0,782000
73;0,333333;0,491429;0,661429;0,666667;0,675714;0,780952;0,871905;0,928095;0,957143;0,961905;0,963333;0,971429;0,795857
74;0,333333;0,482381;0,651905;0,666667;0,698571;0,799048;0,883810;0,930476;0,959048;0,961905;0,964286;0,971429;0,799810
75;0,333333;0,528571;0,664286;0,673333;0,739048;0,808571;0,876667;0,920000;0,952857;0,961905;0,965238;0,971429;0,809048
76;0,333333;0,545714;0,666667;0,674286;0,750000;0,817619;0,877143;0,918571;0,949048;0,961905;0,963810;0,971429;0,812476
77;0,333333;0,552381;0,666190;0,690000;0,765238;0,830952;0,890952;0,920000;0,949524;0,961905;0,965714;0,971429;0,819286
78;0,333333;0,469524;0,659524;0,681905;0,758095;0,829524;0,889048;0,919524;0,945238;0,961905;0,966667;0,971429;0,808095
79;0,333333;0,434286;0,636667;0,670000;0,720952;0,800476;0,853810;0,902857;0,936190;0,959048;0,965714;0,971429;0,788000
80;0,333333;0,546190;0,660000;0,667143;0,714286;0,818095;0,877619;0,910952;0,942857;0,961905;0,965714;0,971429;0,806476
81;0,333333;0,562857;0,666667;0,691905;0,788571;0,860952;0,905238;0,938571;0,952381;0,961905;0,965714;0,971429;0,829476
82;0,333333;0,544286;0,665714;0,683333;0,780000;0,846190;0,895714;0,933333;0,949048;0,961905;0,966667;0,971429;0,822619
83;0,333333;0,585238;0,666667;0,684762;0,781429;0,844762;0,889048;0,925238;0,946667;0,961905;0,966190;0,971429;0,825190
84;0,371429;0,632381;0,668571;0,714762;0,812857;0,850952;0,892857;0,922857;0,943810;0,960476;0,965714;0,971429;0,836524
85;0,504762;0,645238;0,666667;0,669524;0,731905;0,819048;0,864286;0,900000;0,937143;0,959048;0,967143;0,980952;0,816000
86;0,466667;0,644286;0,666667;0,668095;0,710000;0,792857;0,852381;0,895714;0,931429;0,951905;0,965714;0,971429;0,807905
87;0,390476;0,629524;0,666667;0,693333;0,790476;0,842381;0,886667;0,908571;0,940952;0,957619;0,966190;0,971429;0,828238
88;0,400000;0,605238;0,666667;0,674762;0,769524;0,839048;0,892857;0,922381;0,944286;0,960000;0,965714;0,971429;0,824048
89;0,333333;0,553333;0,666667;0,670000;0,736667;0,817619;0,873810;0,908571;0,942381;0,950000;0,964286;0,971429;0,808333
90;0,333333;0,560476;0,666667;0,673810;0,761905;0,824286;0,863333;0,905714;0,938095;0,950952;0,965238;0,971429;0,811048
91;0,390476;0,623333;0,670952;0,752381;0,799048;0,840476;0,891905;0,929048;0,946667;0,961905;0,966667;0,980952;0,838238
92;0,380952;0,622857;0,694762;0,780952;0,825714;0,860000;0,901429;0,935238;0,950000;0,961905;0,967619;0,980952;0,850048
93;0,390476;0,597143;0,672857;0,765238;0,829524;0,870000;0,905714;0,926190;0,942857;0,960000;0,969048;0,980952;0,843857
94;0,390476;0,595714;0,690000;0,805714;0,842857;0,876190;0,903810;0,927143;0,944286;0,959048;0,969524;0,971429;0,851429
95;0,495238;0,644286;0,671905;0,774286;0,840476;0,886667;0,913810;0,936190;0,947143;0,962381;0,971429;0,971429;0,854857
96;0,390476;0,621429;0,666667;0,709048;0,816667;0,852857;0,900952;0,934286;0,945238;0,960000;0,971905;0,980952;0,837905
97;0,400000;0,638095;0,673333;0,775714;0,847619;0,891905;0,920000;0,942857;0,947619;0,962381;0,972381;0,980952;0,857190
98;0,333333;0,590476;0,673333;0,768095;0,838571;0,884286;0,915714;0,942381;0,946190;0,962381;0,972381;0,980952;0,849381
99;0,390476;0,596667;0,700476;0,811905;0,859524;0,899048;0,923810;0,942857;0,944762;0,960476;0,969524;0,980952;0,860905
100;0,400000;0,606190;0,681429;0,778571;0,826190;0,865238;0,899048;0,929524;0,944762;0,960000;0,968095;0,980952;0,845905
101;0,333333;0,555238;0,666667;0,732381;0,814286;0,864762;0,908095;0,935714;0,945714;0,960952;0,966667;0,971429;0,835048
102;0,333333;0,569524;0,665238;0,674286;0,777143;0,844762;0,900000;0,935714;0,943810;0,959048;0,968095;0,971429;0,823762
103;0,380952;0,587619;0,666667;0,722857;0,814762;0,856667;0,903333;0,939524;0,947619;0,961905;0,969524;0,971429;0,837048
104;0,333333;0,588095;0,664762;0,674762;0,781429;0,844286;0,899048;0,938095;0,943810;0,959048;0,968571;0,971429;0,826190
105;0,333333;0,598095;0,666667;0,727143;0,819048;0,855238;0,904286;0,935238;0,946190;0,961429;0,970952;0,971429;0,838429
106;0,333333;0,576667;0,666667;0,761429;0,826667;0,858571;0,908095;0,940952;0,950952;0,964286;0,971429;0,971429;0,842571
107;0,333333;0,610952;0,672857;0,792381;0,837619;0,880000;0,912857;0,939524;0,951429;0,963333;0,971905;0,980952;0,853286
108;0,580952;0,655238;0,666667;0,726190;0,822381;0,862381;0,897143;0,933333;0,947143;0,962857;0,972381;0,980952;0,844571
109;0,390476;0,640952;0,666667;0,746667;0,829524;0,871905;0,900000;0,934286;0,944762;0,958571;0,971905;0,980952;0,846524
110;0,552381;0,650000;0,679524;0,790952;0,830000;0,863810;0,904286;0,939048;0,948095;0,960000;0,971429;0,971429;0,853714
111;0,333333;0,601905;0,666667;0,748095;0,824286;0,857619;0,902381;0,932381;0,943333;0,957143;0,971429;0,971429;0,840524
112;0,352381;0,572381;0,666667;0,706667;0,808095;0,841429;0,888095;0,920476;0,942381;0,953333;0,970000;0,980952;0,826952
113;0,333333;0,553810;0,667143;0,755238;0,830000;0,860000;0,897143;0,920000;0,942857;0,954762;0,972381;0,980952;0,835333
114;0,352381;0,600952;0,670476;0,766190;0,828571;0,859048;0,890000;0,911905;0,931905;0,947143;0,968095;0,980952;0,837429
115;0,333333;0,621429;0,680000;0,801905;0,840000;0,868571;0,885714;0,911905;0,930476;0,946190;0,964762;0,980952;0,845095
116;0,333333;0,574286;0,691905;0,816190;0,839048;0,865238;0,899048;0,914762;0,932381;0,947619;0,970000;0,980952;0,845048
117;0,352381;0,637143;0,688095;0,804286;0,849524;0,885238;0,902381;0,918095;0,936190;0,949524;0,972381;0,980952;0,854286
118;0,438095;0,638571;0,672857;0,756190;0,834762;0,870000;0,900476;0,919524;0,940476;0,952381;0,973333;0,980952;0,845857
119;0,333333;0,624762;0,673333;0,776190;0,832857;0,867619;0,899524;0,913810;0,938571;0,945714;0,971905;0,980952;0,844429
120;0,361905;0,632381;0,726190;0,823333;0,851429;0,888571;0,909048;0,928095;0,942857;0,952857;0,975714;0,980952;0,863048
121;0,342857;0,599048;0,721429;0,820476;0,840952;0,876667;0,908095;0,928095;0,942857;0,952381;0,976667;0,980952;0,856667
122;0,342857;0,643333;0,744762;0,820476;0,838095;0,860476;0,900952;0,926190;0,942857;0,948095;0,972381;0,980952;0,859762
123;0,333333;0,578095;0,735238;0,821429;0,839048;0,875714;0,908571;0,931905;0,942857;0,951429;0,973333;0,980952;0,855762
124;0,333333;0,530952;0,693333;0,804286;0,840000;0,873333;0,910476;0,934286;0,942857;0,950952;0,970952;0,980952;0,845143
125;0,333333;0,588571;0,712381;0,802857;0,845238;0,890952;0,915238;0,937619;0,943333;0,956190;0,970952;0,980952;0,856333
126;0,361905;0,590952;0,693810;0,787619;0,830000;0,878095;0,906190;0,929524;0,943333;0,957619;0,970476;0,980952;0,848762
127;0,619048;0,661429;0,710952;0,795714;0,835714;0,882381;0,902381;0,920476;0,942857;0,954286;0,970476;0,980952;0,857667
128;0,590476;0,657619;0,716667;0,800000;0,840952;0,884762;0,907143;0,929524;0,942857;0,955714;0,971429;0,980952;0,860667
129;0,609524;0,656667;0,698571;0,778095;0,834762;0,873810;0,903810;0,920952;0,941429;0,958095;0,971905;0,980952;0,853810
130;0,504762;0,649048;0,672381;0,721905;0,826190;0,875714;0,908571;0,931905;0,942857;0,953810;0,970000;0,980952;0,845238
131;0,352381;0,612857;0,675238;0,712857;0,801429;0,856667;0,905714;0,937143;0,944286;0,955714;0,967619;0,980952;0,836952
132;0,476190;0,648095;0,679048;0,749048;0,830476;0,878571;0,912857;0,935238;0,944762;0,957619;0,969524;0,980952;0,850524
133;0,361905;0,646190;0,673810;0,746667;0,833810;0,886667;0,911429;0,933333;0,943810;0,955238;0,967619;0,980952;0,849857
134;0,333333;0,638571;0,676667;0,717619;0,807143;0,865714;0,910476;0,931429;0,942857;0,951429;0,967143;0,980952;0,840905
135;0,333333;0,619048;0,667143;0,691429;0,785238;0,851905;0,903810;0,926190;0,942857;0,952381;0,969048;0,980952;0,830905
136;0,390476;0,644762;0,671905;0,725714;0,821429;0,860952;0,904286;0,926667;0,944762;0,956190;0,968095;0,980952;0,842476
137;0,390476;0,644286;0,673333;0,720952;0,803810;0,853333;0,893810;0,920476;0,940000;0,952857;0,967143;0,980952;0,837000
138;0,419048;0,626190;0,670000;0,708095;0,786667;0,842857;0,881905;0,911905;0,934286;0,948095;0,965714;0,980952;0,827571
139;0,419048;0,612857;0,674286;0,729524;0,814762;0,858095;0,890476;0,920476;0,939524;0,949048;0,964762;0,980952;0,835381
140;0,466667;0,592381;0,670000;0,733810;0,825238;0,857143;0,898571;0,921905;0,941429;0,948571;0,964762;0,980952;0,835381
141;0,485714;0,627619;0,683333;0,769524;0,830952;0,875714;0,911429;0,929524;0,942857;0,950952;0,967143;0,980952;0,848905
142;0,333333;0,592857;0,680476;0,773810;0,833333;0,864286;0,901905;0,921429;0,941905;0,945238;0,965714;0,980952;0,842095
143;0,390476;0,612381;0,674286;0,698571;0,775238;0,835238;0,877143;0,919048;0,941905;0,945714;0,964762;0,980952;0,824429
144;0,371429;0,607619;0,669048;0,687619;0,732857;0,815714;0,852857;0,909048;0,940000;0,946667;0,967619;0,980952;0,812905
145;0,371429;0,635238;0,677143;0,708571;0,780476;0,832381;0,886667;0,925714;0,940952;0,949524;0,968095;0,980952;0,830476
146;0,371429;0,636667;0,674762;0,718095;0,793810;0,837619;0,879524;0,917619;0,937143;0,948095;0,970000;0,980952;0,831333
147;0,361905;0,638095;0,675238;0,711429;0,765714;0,828571;0,863810;0,910000;0,936667;0,948095;0,968571;0,980952;0,824619
148;0,514286;0,639048;0,671905;0,712381;0,777619;0,825238;0,863333;0,913333;0,936190;0,947619;0,966667;0,980952;0,825333
149;0,333333;0,610000;0,667143;0,694762;0,748571;0,806190;0,847619;0,895714;0,928571;0,948095;0,965714;0,980952;0,811238
150;0,352381;0,600000;0,666667;0,690476;0,747619;0,806190;0,853333;0,896190;0,926667;0,944762;0,966190;0,980952;0,809810
151;0,352381;0,620952;0,672381;0,726667;0,759524;0,826667;0,868571;0,912857;0,937143;0,954762;0,965238;0,980952;0,824476
152;0,333333;0,603810;0,671905;0,720952;0,762381;0,824762;0,874762;0,913810;0,936667;0,952857;0,965238;0,980952;0,822714
153;0,333333;0,596190;0,669048;0,714762;0,765714;0,820000;0,857619;0,907619;0,933333;0,950952;0,964762;0,980952;0,818000
154;0,352381;0,606190;0,675238;0,743333;0,799048;0,844286;0,906667;0,922857;0,940000;0,953810;0,965714;0,980952;0,835714
155;0,428571;0,598571;0,673333;0,735238;0,799524;0,839524;0,889524;0,915714;0,931905;0,948095;0,964762;0,980952;0,829619
