Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Best;Average
46;0,700414;0,776916;0,783178;0,783668;0,783768;0,783867;0,783962;0,784028;0,785021;0,804133;0,858720;0,867793;0,792726
47;0,155678;0,724497;0,782991;0,783599;0,783770;0,783839;0,783910;0,783999;0,784076;0,807063;0,855933;0,867793;0,787368
48;0,353448;0,751683;0,783049;0,783601;0,783764;0,783846;0,783928;0,784001;0,784077;0,806647;0,855003;0,867793;0,789960
49;0,156069;0,711230;0,782992;0,783377;0,783746;0,783847;0,783918;0,783975;0,784032;0,784326;0,838147;0,868115;0,781959
50;0,171425;0,704364;0,782922;0,783210;0,783691;0,783847;0,783921;0,783975;0,784059;0,787595;0,845423;0,868115;0,782301
51;0,179379;0,638144;0,782800;0,783149;0,783580;0,783845;0,783936;0,783983;0,784052;0,786701;0,847108;0,868115;0,775730
52;0,347839;0,732125;0,782911;0,783131;0,783687;0,783892;0,783943;0,783995;0,784062;0,790616;0,847185;0,868115;0,785555
53;0,155425;0,671462;0,782978;0,783348;0,783798;0,783885;0,783951;0,783992;0,784064;0,799741;0,852251;0,868115;0,780947
54;0,087172;0,626831;0,783213;0,783772;0,783859;0,783921;0,783956;0,784002;0,784086;0,798047;0,847217;0,868115;0,775890
55;0,155678;0,718240;0,783316;0,783779;0,783841;0,783905;0,783941;0,783989;0,784067;0,800931;0,851043;0,868115;0,785705
56;0,155885;0,715079;0,783129;0,783692;0,783840;0,783891;0,783931;0,783961;0,784030;0,790344;0,849679;0,868230;0,784158
57;0,002299;0,665929;0,783117;0,783715;0,783825;0,783880;0,783934;0,783986;0,784075;0,793115;0,848183;0,868230;0,779376
58;0,003402;0,637595;0,783108;0,783775;0,783843;0,783894;0,783939;0,783989;0,784049;0,787694;0,855776;0,868276;0,776766
59;0,155195;0,708759;0,783201;0,783777;0,783841;0,783901;0,783946;0,783992;0,784060;0,786511;0,846237;0,868276;0,782823
60;0,240276;0,745825;0,783141;0,783715;0,783839;0,783902;0,783952;0,784003;0,784064;0,785368;0,833320;0,868276;0,785113
61;0,155494;0,633743;0,783234;0,783784;0,783867;0,783926;0,783967;0,784025;0,784076;0,787025;0,842377;0,868276;0,775002
62;0,155379;0,653309;0,783092;0,783751;0,783857;0,783918;0,783941;0,783977;0,784043;0,790017;0,848885;0,868276;0,777879
63;0,505379;0,746072;0,783249;0,783785;0,783877;0,783925;0,783955;0,783994;0,784034;0,784084;0,824383;0,868276;0,784136
64;0,112322;0,651128;0,783709;0,783823;0,783882;0,783929;0,783955;0,784001;0,784034;0,784091;0,827057;0,868276;0,774961
65;0,241218;0,726833;0,783778;0,783855;0,783913;0,783938;0,783972;0,784014;0,784049;0,784107;0,823163;0,868276;0,782162
66;0,152851;0,728140;0,783799;0,783877;0,783928;0,783951;0,783985;0,784011;0,784041;0,784236;0,829714;0,868276;0,782968
67;0,678851;0,771849;0,783840;0,783908;0,783946;0,783972;0,784002;0,784030;0,784075;0,784440;0,840240;0,868276;0,788430
68;0,155609;0,671198;0,783834;0,783891;0,783944;0,783969;0,783999;0,784047;0,784145;0,787229;0,852215;0,868276;0,779847
