Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Best
50;0,272000;0,337360;0,432000;0,432000;0,432000;0,451760;0,532480;0,611520;0,646560;0,669760;0,693520;0,752000
51;0,272000;0,335680;0,432000;0,432000;0,432000;0,444000;0,511920;0,599360;0,640880;0,668400;0,693680;0,752000
52;0,272000;0,342560;0,432000;0,432000;0,432400;0,463360;0,539040;0,611840;0,646960;0,670720;0,694480;0,752000
53;0,144000;0,309520;0,430320;0,432000;0,432000;0,450240;0,519760;0,603760;0,645440;0,670400;0,693760;0,752000
54;0,272000;0,303120;0,426080;0,432000;0,432000;0,454320;0,528080;0,605440;0,648480;0,675200;0,694720;0,752000
55;0,272000;0,299600;0,422480;0,432000;0,432080;0,465280;0,540080;0,609120;0,651040;0,676080;0,695280;0,752000
56;0,096000;0,303120;0,428000;0,432000;0,432960;0,472560;0,554400;0,619920;0,655920;0,679200;0,696160;0,752000
57;0,224000;0,303600;0,421040;0,432000;0,433680;0,479040;0,546560;0,614320;0,652240;0,675600;0,696800;0,752000
58;0,272000;0,295600;0,405360;0,432000;0,433360;0,475280;0,540960;0,609840;0,645360;0,671760;0,694880;0,752000
59;0,272000;0,297520;0,400880;0,432000;0,434960;0,475680;0,540800;0,608080;0,647440;0,671680;0,693840;0,752000
60;0,152000;0,294400;0,402080;0,432000;0,433440;0,471120;0,549280;0,613840;0,648720;0,670720;0,693360;0,752000
61;0,272000;0,295440;0,399120;0,432000;0,435440;0,475120;0,555840;0,618080;0,648080;0,669200;0,693120;0,752000
62;0,272000;0,298080;0,416560;0,432000;0,437200;0,485200;0,568160;0,621200;0,650320;0,669920;0,693280;0,752000
63;0,272000;0,310400;0,431040;0,432000;0,442480;0,490160;0,566400;0,620240;0,649840;0,670880;0,694400;0,752000
64;0,272000;0,317120;0,432000;0,432000;0,442960;0,491920;0,564960;0,618560;0,650560;0,671760;0,700240;0,776000
65;0,272000;0,313120;0,429680;0,432000;0,436560;0,484880;0,559680;0,615680;0,646880;0,668240;0,697200;0,776000
66;0,240000;0,313280;0,431360;0,432000;0,448480;0,510720;0,575920;0,617360;0,647840;0,671680;0,696320;0,776000
67;0,272000;0,299520;0,419520;0,432000;0,445440;0,504640;0,564240;0,611200;0,644720;0,670480;0,694000;0,776000
68;0,272000;0,311280;0,427120;0,432000;0,443040;0,498320;0,560240;0,608480;0,639440;0,665680;0,691840;0,776000
69;0,280000;0,313440;0,429600;0,432000;0,450160;0,508320;0,565680;0,610480;0,642080;0,664320;0,692960;0,792000
70;0,264000;0,313840;0,430000;0,432000;0,452080;0,509040;0,564560;0,611280;0,646080;0,668400;0,693920;0,792000
71;0,264000;0,316720;0,430400;0,432000;0,441600;0,495760;0,557120;0,611680;0,643440;0,669520;0,698400;0,864000
72;0,272000;0,318960;0,428400;0,432000;0,445680;0,496080;0,565680;0,614400;0,646080;0,672400;0,699200;0,864000
73;0,096000;0,305760;0,423760;0,432000;0,446400;0,495760;0,566080;0,615840;0,646320;0,673040;0,702400;0,864000
74;0,272000;0,308800;0,427280;0,432000;0,451760;0,514720;0,585760;0,628080;0,656320;0,679120;0,700720;0,864000
75;0,112000;0,317360;0,431360;0,433360;0,464720;0,523920;0,585120;0,627760;0,655120;0,678800;0,701200;0,864000
76;0,272000;0,306640;0,424560;0,432000;0,450000;0,504080;0,568320;0,622400;0,650960;0,674960;0,699920;0,864000
77;0,272000;0,310320;0,427280;0,432000;0,449920;0,506880;0,566160;0,618560;0,646480;0,672000;0,698320;0,864000
78;0,208000;0,303040;0,422000;0,432000;0,446560;0,503200;0,567360;0,618880;0,647040;0,672320;0,700000;0,864000
79;0,056000;0,313680;0,428480;0,432000;0,443600;0,492160;0,559840;0,619920;0,648320;0,673680;0,700800;0,864000
80;0,272000;0,333920;0,432000;0,432000;0,439600;0,487520;0,549040;0,611120;0,642960;0,669760;0,699920;0,864000
81;0,072000;0,319920;0,430640;0,432000;0,437680;0,480480;0,541440;0,604960;0,639520;0,665600;0,698400;0,864000
82;0,272000;0,323040;0,430160;0,432000;0,433200;0,467920;0,525840;0,593040;0,634320;0,661600;0,696960;0,864000
83;0,272000;0,312480;0,428160;0,432000;0,438640;0,481120;0,538640;0,600320;0,634800;0,662160;0,695840;0,864000
84;0,272000;0,309840;0,427760;0,432000;0,436240;0,477040;0,542240;0,602560;0,636800;0,665120;0,699920;0,864000
85;0,272000;0,308160;0,430080;0,432000;0,438560;0,484880;0,548560;0,595440;0,636400;0,664480;0,699520;0,864000
86;0,256000;0,309680;0,428400;0,432000;0,439760;0,493360;0,550400;0,594320;0,632800;0,662720;0,705040;0,920000
87;0,256000;0,315120;0,430640;0,432000;0,445120;0,500240;0,555200;0,601360;0,639040;0,665600;0,705840;0,920000
88;0,272000;0,306880;0,425600;0,432000;0,437360;0,486160;0,547440;0,601040;0,639280;0,665920;0,706880;0,920000
89;0,272000;0,309760;0,429760;0,432000;0,445840;0,499280;0,554480;0,606800;0,644800;0,669280;0,712000;0,920000
90;0,272000;0,314560;0,431200;0,432000;0,453840;0,506080;0,563200;0,607760;0,645200;0,669760;0,711600;0,920000
91;0,272000;0,302880;0,428480;0,432000;0,442560;0,493440;0,556880;0,603200;0,641120;0,669280;0,713680;0,920000
92;0,264000;0,307280;0,424080;0,432000;0,437920;0,482960;0,552720;0,603360;0,638480;0,666960;0,715040;0,920000
93;0,272000;0,307520;0,420320;0,432000;0,433920;0,475440;0,549520;0,602480;0,637840;0,667200;0,717200;0,920000
94;0,288000;0,316400;0,428400;0,432000;0,446720;0,500240;0,567280;0,608000;0,641360;0,669680;0,719760;0,920000
95;0,272000;0,311920;0,427520;0,432000;0,447680;0,505440;0,568720;0,609440;0,639680;0,667920;0,722080;0,920000
96;0,248000;0,309200;0,428480;0,432000;0,446080;0,503040;0,565680;0,605680;0,635760;0,665200;0,724080;0,920000
97;0,272000;0,323440;0,432000;0,432000;0,446800;0,501920;0,566320;0,604240;0,639040;0,666640;0,726400;0,920000
98;0,224000;0,309600;0,430000;0,432000;0,454400;0,512720;0,574080;0,613600;0,647280;0,670000;0,726480;0,920000
99;0,224000;0,309440;0,425840;0,432000;0,443680;0,491680;0,553600;0,602960;0,640400;0,666240;0,732880;0,936000
100;0,296000;0,314720;0,427760;0,432000;0,450560;0,507760;0,572080;0,610800;0,641920;0,665920;0,734800;0,936000
101;0,288000;0,305280;0,424160;0,432000;0,443920;0,499040;0,564960;0,608000;0,640720;0,663840;0,733280;0,936000
102;0,288000;0,316000;0,429520;0,432000;0,443040;0,494000;0,565200;0,605360;0,639680;0,665120;0,736080;0,936000
103;0,296000;0,314560;0,429520;0,432000;0,441200;0,498720;0,569040;0,606960;0,640960;0,666800;0,739120;0,936000
104;0,296000;0,324000;0,431200;0,432000;0,441280;0,501600;0,576800;0,614880;0,645840;0,669280;0,744320;0,936000
105;0,296000;0,303280;0,416720;0,432000;0,432080;0,471840;0,552960;0,610160;0,644640;0,672080;0,759760;0,936000
106;0,032000;0,318960;0,432000;0,432000;0,433840;0,497600;0,572720;0,618960;0,648400;0,670880;0,753760;0,936000
107;0,296000;0,321840;0,432000;0,432000;0,432000;0,480080;0,559600;0,608720;0,639840;0,666720;0,762240;0,936000
108;0,296000;0,318160;0,431840;0,432000;0,439440;0,507680;0,578400;0,617840;0,648320;0,672400;0,778880;0,936000
109;0,288000;0,324640;0,432000;0,432000;0,433120;0,481520;0,563280;0,614240;0,646160;0,673600;0,798400;0,936000
110;0,128000;0,340000;0,432000;0,432000;0,435520;0,489200;0,571840;0,618320;0,649840;0,675360;0,813920;0,936000
111;0,296000;0,357920;0,432000;0,432000;0,434240;0,480160;0,555200;0,611920;0,644560;0,673440;0,819040;0,936000
112;0,296000;0,352000;0,432000;0,432000;0,437360;0,491360;0,573600;0,618400;0,649920;0,675760;0,827280;0,936000
113;0,272000;0,334000;0,432000;0,432000;0,437600;0,494880;0,577840;0,622480;0,654880;0,682880;0,861760;0,936000
114;0,272000;0,344640;0,432000;0,432000;0,451040;0,527520;0,601120;0,631280;0,659440;0,688240;0,878720;0,936000
115;0,272000;0,361280;0,432000;0,432000;0,469280;0,549680;0,609280;0,638080;0,663840;0,694240;0,879200;0,936000
116;0,296000;0,354480;0,432000;0,432000;0,476320;0,562320;0,615840;0,647680;0,673520;0,729760;0,892400;0,936000
117;0,272000;0,369440;0,432000;0,437440;0,503200;0,588480;0,626240;0,654480;0,680320;0,777920;0,899680;0,936000
118;0,296000;0,378720;0,432000;0,458640;0,537440;0,604160;0,633360;0,663840;0,696560;0,818880;0,901360;0,936000
119;0,296000;0,348880;0,432000;0,464000;0,558720;0,614640;0,643280;0,671440;0,721440;0,843120;0,902880;0,936000
120;0,272000;0,365760;0,432080;0,486960;0,581520;0,621440;0,651520;0,679360;0,749120;0,851360;0,901440;0,936000
121;0,272000;0,371440;0,442400;0,516400;0,597840;0,630240;0,662400;0,689440;0,764480;0,849920;0,901280;0,936000
122;0,272000;0,359200;0,453920;0,541920;0,603280;0,638000;0,666560;0,694160;0,778320;0,852880;0,900480;0,936000
123;0,272000;0,352480;0,443440;0,529280;0,599840;0,632720;0,664080;0,693200;0,780000;0,849360;0,899680;0,936000
