Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Best;Average
44;-1,000000;-1,000000;-0,202793;0,152891;0,247386;0,335042;0,400018;0,456965;0,494958;0,517985;0,601302;0,873035;0,200375
45;-1,000000;-1,000000;-0,022706;0,152325;0,272457;0,365572;0,416832;0,462998;0,500488;0,524480;0,607589;0,873035;0,228003
46;-1,000000;-1,000000;-0,299642;0,143040;0,251778;0,334885;0,397144;0,452527;0,497718;0,518249;0,613683;0,873035;0,190938
47;-1,000000;-0,890668;0,076674;0,191609;0,282097;0,353245;0,408309;0,454103;0,493789;0,513804;0,610640;0,873035;0,249360
48;-1,000000;-0,945020;0,061462;0,171413;0,276164;0,350206;0,404727;0,455214;0,491640;0,516180;0,615311;0,873035;0,239730
49;-1,000000;-1,000000;-0,038548;0,176321;0,298582;0,372277;0,419865;0,462414;0,497671;0,519944;0,622339;0,873035;0,233087
50;-1,000000;-0,891876;0,068980;0,182639;0,283512;0,355468;0,414113;0,460209;0,496721;0,521978;0,618778;0,873035;0,251052
51;-1,000000;-0,973503;0,044931;0,159206;0,257672;0,335647;0,397188;0,453574;0,484158;0,517366;0,615169;0,873035;0,229141
52;-1,000000;-0,757864;0,070712;0,204198;0,288323;0,344951;0,398930;0,449822;0,481966;0,516161;0,605423;0,873035;0,260262
53;-1,000000;-0,817948;0,061995;0,187869;0,276784;0,340554;0,398207;0,446723;0,480299;0,511725;0,596103;0,873035;0,248231
54;-1,000000;-1,000000;-0,041459;0,140856;0,253757;0,323435;0,395166;0,444416;0,476127;0,508686;0,606790;0,873035;0,210777
55;-1,000000;-1,000000;-0,223645;0,132888;0,252424;0,335943;0,398564;0,444673;0,475826;0,510655;0,609614;0,873035;0,193694
56;-1,000000;-0,861745;0,085524;0,204089;0,315349;0,394258;0,442742;0,469187;0,497428;0,517332;0,612972;0,873035;0,267714
57;-1,000000;-1,000000;-0,022591;0,198182;0,311774;0,387349;0,437664;0,469583;0,497344;0,519216;0,604685;0,873035;0,240321
58;-1,000000;-1,000000;-0,043220;0,242391;0,343053;0,401917;0,441975;0,471335;0,499181;0,521050;0,607757;0,873035;0,248544
59;-1,000000;-0,814018;0,108198;0,232998;0,335398;0,399283;0,438329;0,473182;0,502359;0,522443;0,612608;0,873035;0,281078
60;-1,000000;-0,753344;0,095127;0,197537;0,282974;0,352929;0,423498;0,458455;0,496848;0,523513;0,628906;0,873035;0,270644
61;-1,000000;-1,000000;-0,099824;0,144883;0,254908;0,340394;0,402081;0,445581;0,475358;0,506306;0,604312;0,873035;0,207400
62;-1,000000;-1,000000;-0,062114;0,143137;0,250168;0,339951;0,397214;0,440793;0,473311;0,508525;0,610667;0,873035;0,210165
63;-1,000000;-1,000000;-0,071206;0,170056;0,270804;0,349267;0,402551;0,440316;0,470538;0,506813;0,616540;0,873035;0,215568
64;-1,000000;-0,828680;0,109387;0,234899;0,319632;0,379185;0,424397;0,448776;0,483527;0,517567;0,618382;0,873035;0,270707
65;-1,000000;-0,957267;0,089468;0,193152;0,285108;0,342547;0,399777;0,435996;0,466689;0,506561;0,600013;0,873035;0,236204
66;-1,000000;-0,974832;0,068030;0,174908;0,272883;0,347055;0,399122;0,437083;0,467111;0,506366;0,595999;0,873035;0,229372
67;-1,000000;-0,892198;0,081649;0,196034;0,285799;0,359208;0,405166;0,443630;0,476702;0,510333;0,588626;0,873035;0,245495
68;-1,000000;-1,000000;0,056736;0,218932;0,308154;0,380609;0,430448;0,461484;0,497901;0,516884;0,597544;0,873035;0,246869
69;-1,000000;-1,000000;-0,201944;0,193901;0,299122;0,375270;0,429325;0,462745;0,497023;0,519512;0,613506;0,873035;0,218846
70;-1,000000;-0,697320;0,157794;0,256959;0,334389;0,391990;0,444311;0,479461;0,504695;0,526553;0,637910;0,873035;0,303674
71;-1,000000;-0,757457;0,124262;0,223754;0,311029;0,379470;0,433445;0,472172;0,506580;0,527479;0,632759;0,873035;0,285349
72;-1,000000;-0,737090;0,113162;0,222720;0,297506;0,375595;0,425739;0,461264;0,502870;0,528984;0,647404;0,892381;0,283815
73;-1,000000;-0,551649;0,123997;0,249235;0,326155;0,397670;0,445283;0,487435;0,512077;0,529879;0,645643;0,892381;0,316573
74;-1,000000;-0,800133;0,108631;0,232214;0,320849;0,385837;0,436136;0,481820;0,512977;0,529971;0,648099;0,892381;0,285640
75;-1,000000;-0,828991;0,115563;0,240868;0,322913;0,382350;0,434067;0,474109;0,506485;0,526833;0,677971;0,904044;0,285217
76;-1,000000;-0,794604;0,137126;0,265675;0,336121;0,382351;0,424875;0,458701;0,495748;0,523849;0,679429;0,904044;0,290927
77;-1,000000;-0,941922;0,114647;0,232825;0,327756;0,378967;0,427191;0,467005;0,500474;0,528058;0,663503;0,904044;0,269851
78;-1,000000;-0,794254;0,117842;0,213014;0,310845;0,373646;0,428044;0,474141;0,497896;0,526776;0,674066;0,904044;0,282202
79;-1,000000;-0,656843;0,113980;0,216760;0,314881;0,382652;0,441516;0,481033;0,505554;0,531973;0,702704;0,904044;0,303421
