Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Najboljši;Povprečje
0;-1,000000;-1,000000;-1,000000;-1,000000;-1,000000;-1,000000;-1,000000;-1,000000;-1,000000;-0,350606;0,175282;0,477495;-0,817532
1;-1,000000;-1,000000;-1,000000;-1,000000;-0,486033;-0,143489;-0,029396;0,032106;0,120574;0,251479;0,382787;0,524956;-0,287197
2;-1,000000;-1,000000;-1,000000;-1,000000;-0,438032;-0,119861;-0,013396;0,046102;0,150131;0,277402;0,401165;0,524956;-0,269649
3;-1,000000;-1,000000;-1,000000;-1,000000;-0,323224;-0,078898;0,012644;0,086580;0,193125;0,312619;0,449504;0,524956;-0,234765
4;-1,000000;-1,000000;-1,000000;-1,000000;-0,387134;-0,045168;0,030284;0,109326;0,232369;0,340727;0,482808;0,524956;-0,223679
5;-1,000000;-1,000000;-1,000000;-1,000000;-0,582090;-0,046053;0,049070;0,132924;0,261074;0,373888;0,497624;0,551133;-0,231356
6;-1,000000;-1,000000;-1,000000;-1,000000;-0,298568;-0,002265;0,080715;0,209386;0,324124;0,430655;0,501826;0,551133;-0,175413
7;-1,000000;-1,000000;-1,000000;-1,000000;-0,425894;-0,015153;0,091139;0,244335;0,356292;0,462810;0,531450;0,697693;-0,175502
8;-1,000000;-1,000000;-1,000000;-1,000000;-0,393304;0,032472;0,148487;0,277395;0,394451;0,474354;0,542630;0,697693;-0,152351
9;-1,000000;-1,000000;-1,000000;-1,000000;-0,412682;0,041046;0,178479;0,334970;0,441102;0,477495;0,563377;0,697693;-0,137621
10;-1,000000;-1,000000;-1,000000;-0,405766;0,023479;0,156000;0,299187;0,397045;0,471907;0,488314;0,582769;0,697693;0,001293
11;-1,000000;-1,000000;-1,000000;-0,454131;0,047644;0,232473;0,363470;0,434917;0,476487;0,510175;0,593273;0,697693;0,020431
12;-1,000000;-1,000000;-1,000000;-0,164974;0,097895;0,293658;0,396798;0,455594;0,480610;0,524422;0,593122;0,697693;0,067713
13;-1,000000;-1,000000;-1,000000;-0,266978;0,132833;0,273078;0,379011;0,447951;0,479982;0,518208;0,607301;0,697693;0,057139
14;-1,000000;-1,000000;-0,453347;0,095511;0,254736;0,368882;0,426426;0,462442;0,482966;0,519343;0,588959;0,697693;0,174592
15;-1,000000;-1,000000;-1,000000;-0,002306;0,114174;0,274162;0,373499;0,438604;0,475654;0,514713;0,589896;0,697693;0,077840
16;-1,000000;-1,000000;-0,513303;0,045771;0,208739;0,316718;0,407253;0,454516;0,484617;0,523007;0,602026;0,699169;0,152935
17;-1,000000;-1,000000;-0,229845;0,086084;0,220002;0,318359;0,410988;0,465262;0,490181;0,530340;0,617450;0,771911;0,190882
18;-1,000000;-1,000000;-0,773774;0,048195;0,164536;0,266143;0,380160;0,444291;0,483476;0,523458;0,611158;0,771911;0,114764
19;-1,000000;-1,000000;-0,874679;0,034299;0,162818;0,290962;0,399146;0,464037;0,495472;0,531085;0,610566;0,771911;0,111371
20;-1,000000;-1,000000;-0,355776;0,143603;0,307991;0,387223;0,453298;0,498460;0,528049;0,544898;0,640893;0,771911;0,214864
21;-1,000000;-1,000000;-0,806255;0,066897;0,290316;0,400268;0,457127;0,492385;0,522492;0,539064;0,624509;0,771911;0,158680
22;-1,000000;-1,000000;-0,901423;0,043036;0,249488;0,414349;0,458477;0,492027;0,526663;0,543292;0,640956;0,771911;0,146687
23;-1,000000;-1,000000;-0,243933;0,201414;0,377441;0,446555;0,478589;0,513098;0,537178;0,546600;0,636552;0,771911;0,249350
24;-1,000000;-1,000000;-0,126239;0,203490;0,389020;0,448587;0,493457;0,521630;0,538532;0,550275;0,664884;0,792913;0,268364
25;-1,000000;-1,000000;-0,044554;0,230393;0,409998;0,473099;0,501936;0,524299;0,538149;0,546944;0,685558;0,792913;0,286582
26;-1,000000;-0,801408;0,090692;0,278509;0,410272;0,468937;0,501846;0,523400;0,536008;0,550064;0,712743;0,792913;0,327106
27;-1,000000;-1,000000;-0,222766;0,216901;0,336994;0,441162;0,484169;0,509743;0,527266;0,543764;0,682487;0,792913;0,251972
28;-1,000000;-0,762209;0,115360;0,280700;0,406548;0,462155;0,494817;0,513357;0,528867;0,542177;0,651324;0,792913;0,323309
29;-1,000000;-1,000000;-0,355502;0,212220;0,380136;0,446922;0,482730;0,504123;0,521888;0,537793;0,630806;0,792913;0,236112
30;-1,000000;-0,901732;0,088551;0,246394;0,371155;0,450256;0,490206;0,504156;0,518446;0,532643;0,603687;0,792913;0,290376
31;-1,000000;-1,000000;0,053417;0,206112;0,300051;0,418247;0,470616;0,502337;0,517641;0,531392;0,612758;0,792913;0,261257
32;-1,000000;-0,655778;0,101903;0,255029;0,386518;0,451799;0,488610;0,506648;0,523422;0,535742;0,618691;0,792913;0,321258
33;-1,000000;-0,900602;0,066875;0,190815;0,358034;0,445131;0,485495;0,502299;0,517969;0,531371;0,617951;0,792913;0,281534
34;-1,000000;-0,751423;0,066117;0,188201;0,320277;0,421810;0,479171;0,500549;0,516253;0,532846;0,623392;0,792913;0,289719
35;-1,000000;-0,581914;0,134886;0,272545;0,386472;0,470903;0,495967;0,507102;0,524667;0,536430;0,644533;0,792913;0,339159
36;-1,000000;-0,566405;0,195637;0,319082;0,426084;0,478169;0,500081;0,510960;0,526425;0,537694;0,630210;0,792913;0,355794
37;-1,000000;-0,746542;0,131446;0,283571;0,424009;0,479262;0,499569;0,511319;0,525333;0,537067;0,627436;0,792913;0,327247
