Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Najboljši;Povprečje
0;-1,000000;-1,000000;-1,000000;-0,207556;-0,051466;-0,024323;-0,006540;0,002927;0,032512;0,065965;0,143302;0,299171;-0,204518
1;-1,000000;-0,889602;-0,116871;-0,051464;-0,026555;-0,008812;0,000452;0,013127;0,038715;0,072231;0,154012;0,299171;-0,081477
2;-1,000000;-0,621663;-0,093956;-0,045757;-0,022078;-0,005109;0,005149;0,024188;0,048283;0,087180;0,175776;0,306893;-0,044799
3;-1,000000;-0,889875;-0,109623;-0,052266;-0,027136;-0,007897;0,003568;0,023979;0,052677;0,088811;0,179191;0,400575;-0,073857
4;-1,000000;-0,558925;-0,076477;-0,037104;-0,013946;-0,000651;0,012916;0,036329;0,063263;0,100094;0,217494;0,400575;-0,025701
5;-1,000000;-0,811883;-0,088565;-0,037959;-0,009399;0,001056;0,012735;0,031538;0,057554;0,090529;0,217842;0,400575;-0,053655
6;-1,000000;-0,717048;-0,066222;-0,028323;-0,006649;0,005474;0,019491;0,037060;0,059173;0,094044;0,209341;0,400575;-0,039366
7;-1,000000;-0,501599;-0,071749;-0,034698;-0,009070;0,004699;0,019410;0,039585;0,064828;0,110960;0,228618;0,400575;-0,014902
8;-1,000000;-0,609279;-0,092114;-0,038776;-0,014016;-0,000431;0,012499;0,029670;0,052078;0,101657;0,224040;0,400575;-0,033467
9;-1,000000;-0,696263;-0,078125;-0,034159;-0,013378;0,001571;0,017121;0,041026;0,075586;0,132888;0,225366;0,400575;-0,032837
10;-1,000000;-0,513815;-0,061262;-0,029133;-0,009621;0,008373;0,026096;0,049759;0,080998;0,129973;0,227768;0,400575;-0,009086
11;-1,000000;-0,390187;-0,050775;-0,020275;-0,000479;0,016391;0,032922;0,062701;0,096108;0,142484;0,223403;0,400575;0,011229
12;-1,000000;-0,657397;-0,057249;-0,023411;-0,003719;0,011907;0,031004;0,059992;0,099999;0,151927;0,248152;0,400575;-0,013880
13;-1,000000;-0,500028;-0,053039;-0,018226;0,003159;0,020316;0,042762;0,075247;0,113210;0,162507;0,255711;0,400575;0,010162
14;-1,000000;-0,585035;-0,058562;-0,019241;0,002771;0,021130;0,045123;0,074183;0,111658;0,156546;0,252990;0,430985;0,000156
